PARAMETER_CODE,DMR_PARAMETER_DESC,POLLUTANT_CODE,PARENT_CATEGORY,SUB_CATEGORY,TOXICS_PARAMETER_DESC_MATCHED,ESMR_PARAMETER_DESC
51103,"Bromacil, lithium",10713,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51104,Bromoxynil octanoate,11894,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51106,Dazomet,10739,Uncategorized,Uncategorized,,No Match (unconfirmed)
51107,Nabonate,11050,Uncategorized,Uncategorized,,No Match (unconfirmed)
51108,TCMTB,12401,Uncategorized,Uncategorized,,No Match (unconfirmed)
51109,Industrial contribution % of influent,11419,Uncategorized,Uncategorized,,No Match (unconfirmed)
51110,"Potassium, total [K2O], [water]",12110,Nutrients,Potassium,,No Match (unconfirmed)
51111,Chlorinated paraffin in sludge,11084,Inorganics,Disinfectants,,No Match (unconfirmed)
51112,"Surface area, square feet",12294,Uncategorized,Uncategorized,,No Match (unconfirmed)
51114,"Stock base fluid, PAH",12274,Uncategorized,Uncategorized,,No Match (unconfirmed)
51115,"Stock base fluid, sediment toxicity",12276,Solids,Suspended Solids,,No Match (unconfirmed)
51116,"Stock base fluid, biodegredation rate",12275,Uncategorized,Uncategorized,,No Match (unconfirmed)
51117,"Discharge drill cuttings, sediment toxicity",11202,Metals,Tin,,No Match (unconfirmed)
51118,"Discharge drill cuttings, formation oil",11201,Other,Fuel,,No Match (unconfirmed)
51119,"Discharge drill cuttings, formation oil cert",11201,Other,Fuel,,No Match (unconfirmed)
51120,"Discharge drill cuttings, base fluids retained",11200,Metals,Tin,,No Match (unconfirmed)
51121,"Seabed survey, industry wide",12202,Uncategorized,Uncategorized,,No Match (unconfirmed)
51122,"Seabed survey, 1st suvey w/i 2 wks",12202,Uncategorized,Uncategorized,,No Match (unconfirmed)
51123,"Seabed survey, 2ndsuvey w/i 1 yr",12202,Uncategorized,Uncategorized,,No Match (unconfirmed)
51124,"Application rate, daily spray irrigation.",10824,pH,pH,,No Match (unconfirmed)
51125,"Application rate, weekly spray irrigation.",10824,pH,pH,,No Match (unconfirmed)
51126,"Application rate, rate/area sprayed",10824,pH,pH,,No Match (unconfirmed)
51127,Priority pollutant chemical specific,12121,Uncategorized,Uncategorized,,No Match (unconfirmed)
51128,"Application rate, gallons spray irrigation",10824,pH,pH,,No Match (unconfirmed)
51129,Biosolids weight indluding admixtures,661,Solids,Suspended Solids,,No Match (unconfirmed)
51130,"Viable helminth ova, sludge, dry weight",11387,Uncategorized,Uncategorized,,No Match (unconfirmed)
51131,"Fecal coliform in sludge, CFU/gram",10287,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51132,Cyanuric acid,10647,pH,pH,,No Match (unconfirmed)
51133,Blend ratio,10984,Uncategorized,Uncategorized,,No Match (unconfirmed)
51134,Ametryn,10654,Uncategorized,Uncategorized,,No Match (unconfirmed)
51135,Benomyl and carbendazim,10870,Uncategorized,Uncategorized,,No Match (unconfirmed)
51136,Bromoxynil,10966,Uncategorized,Uncategorized,,No Match (unconfirmed)
51137,Busan 40,11048,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51138,Busan 85,10188,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51139,Chloroneb,10910,Uncategorized,Uncategorized,,No Match (unconfirmed)
51140,Chlorothalonil,10656,Uncategorized,Uncategorized,,No Match (unconfirmed)
51141,DCPA,10023,Uncategorized,Uncategorized,,No Match (unconfirmed)
51142,DEF,12090,Uncategorized,Uncategorized,,No Match (unconfirmed)
51143,Dioxathion,12072,Uncategorized,Uncategorized,,No Match (unconfirmed)
51144,Endothall salts & esters,10763,Nutrients,Dissolved Oxygen,,No Match (unconfirmed)
51145,Fenarimol,10753,Uncategorized,Uncategorized,,No Match (unconfirmed)
51146,Fenvalerate,10941,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51147,KN methyl,11052,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51148,Linuron,12464,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51149,"Methamidophos, organic pesticide",12050,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51150,"Nabam, organic pesticide",11049,Uncategorized,Uncategorized,,No Match (unconfirmed)
51151,Norflurazon,10742,Uncategorized,Uncategorized,,No Match (unconfirmed)
51152,Pentachloronitrobenzene [PCNB],10935,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51153,Pendimethalin,10887,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51154,Phosmet,12074,Uncategorized,Uncategorized,,No Match (unconfirmed)
51155,Prometon,10651,Uncategorized,Uncategorized,,No Match (unconfirmed)
51156,Prometryn,10652,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51157,Pronamide,10873,Uncategorized,Uncategorized,,No Match (unconfirmed)
51158,Propachlor,10774,Uncategorized,Uncategorized,,No Match (unconfirmed)
51159,Propazine,10648,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51160,Tebuthiuron,12470,Uncategorized,Uncategorized,,No Match (unconfirmed)
51161,Terbuthylazine,10650,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51162,"Terbutryn, organic pesticide",10653,Uncategorized,Uncategorized,,No Match (unconfirmed)
51163,"Triadimefon, organic pesticide",10718,Uncategorized,Uncategorized,,No Match (unconfirmed)
51164,"Ziram, organic pesticide",12516,Uncategorized,Uncategorized,,No Match (unconfirmed)
51165,"SAS - 305, total",10901,Uncategorized,Uncategorized,,No Match (unconfirmed)
51166,"SAS - 305, total in sludge",10901,Uncategorized,Uncategorized,,No Match (unconfirmed)
51167,Operation of turbines,11904,Uncategorized,Uncategorized,,No Match (unconfirmed)
51168,Priority pollutants scan [yes/no],12122,Uncategorized,Uncategorized,,No Match (unconfirmed)
51169,Hematite Production,11388,Uncategorized,Uncategorized,,No Match (unconfirmed)
51170,Filter backwash discharges per day,11297,Uncategorized,Uncategorized,,No Match (unconfirmed)
51171,Water softener backwash,12501,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51172,Water backwash,12498,Uncategorized,Uncategorized,,No Match (unconfirmed)
