IR_PARAMETER_DESC,PARENT_CATEGORY,SUB_CATEGORY
Fenpyroximate,Toxic Organics,Toxic Organics
Solids,Solids,Suspended Solids
Surfactants (MBAS),Toxic Organics,Toxic Organics
Synthetic Organics,Organics,Other Organics
Thallium,Metals,Thallium
PAHs (Polycyclic Aromatic Hydrocarbons) (sediment),Toxic Organics,Toxic Organics
Pesticides (sediment),Toxic Organics,Toxic Organics
"Permethrin, total",Toxic Organics,Toxic Organics
Mercury (tissue),Metals,Mercury
Chlordane (sediment),Toxic Organics,Toxic Organics
Propanil (DCPA mono- and di-acid degrad),Toxic Organics,Toxic Organics
Aldicarb,Toxic Organics,Toxic Organics
"Tritium, total",Other,Radiation
"Radium 226 + radium 228, total",Other,Radiation
Methyl tert-butyl ether [MTBE],Toxic Organics,Toxic Organics
Polynuclear Aromatic Hydrocarbons [PAHs],Toxic Organics,Toxic Organics
"Uranium, total [in pci/L]",Metals,Uranium
Total Organic Carbon % Removal,Organics,Other Organics
"Cyanide, free available",Inorganics,Toxic Inorganics
"Coliform, fecal - % samples exceeding limit",Toxic Organics,Toxic Organics
Dichlorobromomethane,Toxic Organics,Toxic Organics
Carbon tetrachloride,Toxic Organics,Toxic Organics
"1,2-Dichloroethane",Toxic Organics,Toxic Organics
Bromoform,Toxic Organics,Toxic Organics
Dibromochloromethane,Toxic Organics,Toxic Organics
Chloroform,Toxic Organics,Toxic Organics
Toluene,Toxic Organics,Toxic Organics
Benzene,Toxic Organics,Toxic Organics
"Radiation, gross beta",Other,Other
Oil and grease,Other,Fuel
"2-Methyl-4,6-dinitrophenol",Toxic Organics,Toxic Organics
Tributyltin,Metals,Tin
Polychlorinated biphenyls [PCBs],Inorganics,Disinfectants
Di[2-ethylhexyl] phthalate [DEHP],Toxic Organics,Toxic Organics
Di-n-butyl phthalate,Toxic Organics,Toxic Organics
Phthalate esters,Toxic Organics,Toxic Organics
"4,4'-DDT",Toxic Organics,Toxic Organics
"4,4'-DDD",Toxic Organics,Toxic Organics
"4,4'-DDE",Toxic Organics,Toxic Organics
Chlordane [tech mix. and metabolites],Toxic Organics,Toxic Organics
"DDT/DDD/DDE, sum of p,p' & o,p' isomers",Toxic Organics,Toxic Organics
Heptachlor,Toxic Organics,Toxic Organics
Isophorone,Toxic Organics,Toxic Organics
Methylene chloride,Toxic Organics,Toxic Organics
N-Nitrosodi-N-propylamine,Toxic Organics,Toxic Organics
N-Nitrosodiphenylamine,Toxic Organics,Toxic Organics
N-Nitrosodimethylamine [NDMA],Toxic Organics,Toxic Organics
TU Static 72Hr Chronic Strongyl. purpuratus,Aquatic Toxicity,Aquatic Toxicity
TU Static 48Hr Chronic Macrocystis pyrifera,Aquatic Toxicity,Aquatic Toxicity
TU Static 48Hr Chronic Haliotis rufescens,Aquatic Toxicity,Aquatic Toxicity
TU Static Renewal 7-Day Chronic Ceriodaphnia dubia,Toxic Organics,Toxic Organics
TU Static Renewal 7-Day Chronic Pimphales promelas,Toxic Organics,Toxic Organics
TU Static Renewal 7-Day Chronic Menidia beryllina,Toxic Organics,Toxic Organics
Toxic Units Static Renewal 7-Day Chronic Atherinops affinis ,Toxic Organics,Toxic Organics
TU Static 20Min Chronic Strongyl. purpuratus,Aquatic Toxicity,Aquatic Toxicity
"Solids, total dissolved",Solids,Suspended Solids
E. coli,Pathogens,Pathogens
Flow [dry weather],Flow,Flow
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",Toxic Organics,Toxic Organics
Surfactants [MBAS],Toxic Organics,Toxic Organics
Acrolein,Toxic Organics,Toxic Organics
Acrylonitrile,Toxic Organics,Toxic Organics
Benzo[a]pyrene,Toxic Organics,Toxic Organics
Bis[2-chloroethyl] ether,Toxic Organics,Toxic Organics
Bis[2-chloroethoxy]methane,Toxic Organics,Toxic Organics
Bis[2-chloroisopropyl] ether,Toxic Organics,Toxic Organics
Chlorobenzene,Toxic Organics,Toxic Organics
Chlorodibromomethane,Toxic Organics,Toxic Organics
Diethyl phthalate,Toxic Organics,Toxic Organics
Dimethyl phthalate,Toxic Organics,Toxic Organics
"1,2-Diphenylhydrazine",Toxic Organics,Toxic Organics
Ethylbenzene,Toxic Organics,Toxic Organics
Fluoranthene,Toxic Organics,Toxic Organics
Hexachlorocyclopentadiene,Toxic Organics,Toxic Organics
Hexachlorobutadiene,Toxic Organics,Toxic Organics
Hexachloroethane,Toxic Organics,Toxic Organics
"Flow, in conduit or thru treatment plant",Flow,Flow
"Chlorine, total residual",Inorganics,Disinfectants
"Chlorine, free available",Inorganics,Disinfectants
Nitrobenzene,Toxic Organics,Toxic Organics
Tetrachloroethylene,Toxic Organics,Toxic Organics
"1,1-Dichloroethylene",Toxic Organics,Toxic Organics
"1,1,1-Trichloroethane",Toxic Organics,Toxic Organics
"1,1,2-Trichloroethane",Toxic Organics,Toxic Organics
"1,1,2,2-Tetrachloroethane",Toxic Organics,Toxic Organics
"1,4-Dichlorobenzene",Toxic Organics,Toxic Organics
"2,4-Dinitrotoluene",Toxic Organics,Toxic Organics
"2,4-Dinitrophenol",Toxic Organics,Toxic Organics
"2,4,6-Trichlorophenol",Toxic Organics,Toxic Organics
"3,3'-Dichlorobenzidine",Toxic Organics,Toxic Organics
Enterococci,Pathogens,Pathogens
"Turbidity, time above limit",Color and Turbidity,Turbidity
Pass/Fail Static 96Hr Acute Ceriodaphnia Dubia,Aquatic Toxicity,Aquatic Toxicity
Pass/Fail Static Renewal 7 Day Chronic Ceriodaphnia dubia,Toxic Organics,Toxic Organics
Pass/Fail Static Renewal 7Day Chronic Pimephales promelas,Toxic Organics,Toxic Organics
%Surv Static Renewal 96Hr Acute Ceriodaphnia dubia,Toxic Organics,Toxic Organics
%Surv Static 96Hr Acute Pimphales Promelas,Aquatic Toxicity,Aquatic Toxicity
%Surv Static 96Hr Acute Oncorhynchus Mykiss,Aquatic Toxicity,Aquatic Toxicity
