PARAMETER_CODE,PARAMETER_DESC,POLLUTANT_CODE,STATUS_FLAG,UNIT_GROUP_CODE,PERCENT_REMOVAL_FLAG,PERCENT_EXCEEDENCE_FLAG,SNC_FLAG,IR_PARAMETER_DESC,PARENT_CATEGORY,SUB_CATEGORY,PARAMETER_CODE_CLEAN
34450,"Nitrobenzene, dry weight",10164,A,59,,Y,2.0,,,,34450
34452,para-Chloro-meta-cresol,12036,A,59,,Y,2.0,,,,34452
34461,Phenanthrene,7827,A,59,,Y,2.0,Phenanthrene,Toxic Organics,Toxic Organics,34461
34464,"Phenanthrene, dry weight",7827,A,59,,Y,2.0,,,,34464
34469,Pyrene,7829,A,59,,Y,2.0,Pyrene,Toxic Organics,Toxic Organics,34469
34472,"Pyrene, dry weight",7829,A,59,,Y,2.0,,,,34472
34475,Tetrachloroethylene,10284,A,59,,Y,2.0,Tetrachloroethylene,Toxic Organics,Toxic Organics,34475
34478,"Tetrachloroethylene, dry weight",10284,A,59,,Y,2.0,,,,34478
34480,Thallium in bottom deposits [dry wgt],4068,A,59,,Y,2.0,,,,34480
34481,"Toluene, dissolved",10161,A,59,,Y,2.0,,,,34481
34483,"Toluene, dry weight",10161,A,59,,Y,2.0,,,,34483
34485,"Trichloroethylene, dissolved",10285,A,59,,Y,2.0,,,,34485
34487,"Trichloroethylene, dry weight",10285,A,59,,Y,2.0,,,,34487
34488,Trichlorofluoromethane,10346,A,59,,Y,2.0,Trichlorofluoromethane,Uncommon,Uncommon,34488
34495,"Vinyl chloride, dry weight",10282,A,59,,Y,2.0,,,,34495
34496,"1,1-Dichloroethane",10259,A,59,,Y,2.0,"1,1-Dichloroethane",Uncommon,Uncommon,34496
34499,"1,1-Dichloroethane, dry weight",10259,A,59,,Y,2.0,,,,34499
34501,"1,1-Dichloroethylene",10278,A,59,,Y,2.0,"1,1-Dichloroethylene",Toxic Organics,Toxic Organics,34501
34504,"1,1-Dichloroethylene, dry weight",10278,A,59,,Y,2.0,,,,34504
34506,"1,1,1-Trichloroethane",10256,A,59,,Y,2.0,"1,1,1-Trichloroethane",Toxic Organics,Toxic Organics,34506
34509,"1,1,1-Trichloroethane, dry weight",10256,A,59,,Y,2.0,,,,34509
34511,"1,1,2-Trichloroethane",10258,A,59,,Y,2.0,"1,1,2-Trichloroethane",Toxic Organics,Toxic Organics,34511
34514,"1,1,2-Trichloroethane, dry weight",10258,A,59,,Y,2.0,,,,34514
34516,"1,1,2,2-Tetrachloroethane",10257,A,59,,Y,2.0,"1,1,2,2-Tetrachloroethane",Toxic Organics,Toxic Organics,34516
34519,"1,1,2,2-Tetrachloroethane, dry weight",10257,A,59,,Y,2.0,,,,34519
