PARAMETER_CODE,DMR_PARAMETER_DESC,POLLUTANT_CODE,PARENT_CATEGORY,SUB_CATEGORY,TOXICS_PARAMETER_DESC_MATCHED,ESMR_PARAMETER_DESC
175,"Nitrogen, ammonia, percent removal",,Nutrients,Nitrogen,,
183,"Chlorine, total residual, duration of violation",,Inorganics,Disinfectants,,
300,"Oxygen, dissolved [DO]",,Nutrients,Dissolved Oxygen,,
310,"BOD, 5-day, 20 deg. C",,Organics,COD,,
400,pH,,pH,pH,,pH
945,"Sulfate, total [as SO4]",,Solids,Dissolved Solids,,"Sulfate, Total (as SO4)"
82581,"pH range excursions, > 60 minutes",,pH,pH,,
82582,"pH range excursions, monthly total accum",,pH,pH,,
82698,TCDD equivalents,,Toxic Organics,Toxic Organics,,TCDD Equivalents
71901,"Mercury, total recoverable",,Metals,Mercury,,"Mercury, Total Recoverable"
982,"Thallium, total recoverable",,Metals,Thallium,,"Thallium, Total Recoverable"
923,"Sodium, total recoverable",,Solids,Dissolved Solids,,"Sodium, Total Recoverable"
998,"Beryllium, total recoverable [as Be]",,Metals,Beryllium,,
999,"Boron, total recoverable",,Inorganics,Toxic Inorganics,,"Boron, Total Recoverable"
TTK3S,Static 48Hr Chronic Mytilis Species,,Aquatic Toxicity,Aquatic Toxicity,,
665,"Phosphorus, total [as P]",,Nutrients,Phosphorus,,"Phosphorus, Total (as P)"
1062,"Molybdenum, total [as Mo]",,Metals,Molybdenum,,
1074,"Nickel, total recoverable",,Metals,Nickel,,"Nickel, Total Recoverable"
1079,Silver total recoverable,,Metals,Silver,,"Silver, Total Recoverable"
1094,"Zinc, total recoverable",,Metals,Zinc,,"Zinc, Total Recoverable"
1104,"Aluminum, total recoverable",,Metals,Aluminum,,"Aluminum, Total Recoverable"
1113,"Cadmium, total recoverable",,Metals,Cadmium,,"Cadmium, Total Recoverable"
1114,"Lead, total recoverable",,Metals,Lead,,"Lead, Total Recoverable"
1118,"Chromium, total recoverable",,Metals,Chromium,,"Chromium, Total Recoverable"
1119,"Copper, total recoverable",,Metals,Copper,,"Copper, Total Recoverable"
1268,"Antimony, total recoverable",,Metals,Antimony,,"Antimony, Total Recoverable"
1032,"Chromium, hexavalent [as Cr]",,Metals,Chromium,,
1033,"Chromium, trivalent [as Cr]",,Metals,Chromium,,
3530,"Radiation,Gross Beta Particle Activity",,Other,Other,,
51409,Specific Conductance,,Solids,Dissolved Solids,,Specific Conductance
TTM6A,TU Static Renewal Chronic Cyprinodeon variegatus,,Toxic Organics,Toxic Organics,,
10,"Temperature, water deg. centigrade",,Temperature,Temperature,,
11,"Temperature, water deg. fahrenheit",,Temperature,Temperature,,
18,Temp. diff. between samp. & upstrm deg. F,,Temperature,Temperature,,
70,Turbidity,,Color and Turbidity,Turbidity,,Turbidity
51543,Temperature Increase Deg. F,,Temperature,Temperature,,
978,"Arsenic, total recoverable",,Metals,Arsenic,,"Arsenic, Total Recoverable"
980,"Iron, total recoverable",,Metals,Iron,,"Iron, Total Recoverable"
981,"Selenium, total recoverable",,Metals,Selenium,,"Selenium, Total Recoverable"
530,"Solids, total suspended",,Solids,Suspended Solids,,
545,"Solids, settleable",,Solids,Suspended Solids,,
556,Oil & Grease,,Other,Fuel,,Oil and Grease
600,"Nitrogen, total [as N]",,Nutrients,Nitrogen,,"Nitrogen, Total (as N)"
610,"Nitrogen, ammonia total [as N]",,Nutrients,Nitrogen,,
612,"Nitrogen, ammonia, tot unionized [as N]",,Nutrients,Nitrogen,,
615,"Nitrogen, nitrite total [as N]",,Nutrients,Nitrogen,,
619,"Ammonia, unionized",,Nutrients,Nitrogen,,
620,"Nitrogen, nitrate total [as N]",,Nutrients,Nitrogen,,
630,Nitrite + Nitrate total [as N],,Nutrients,Nitrogen,,
640,"Nitrogen, inorganic total",,Nutrients,Nitrogen,,
940,Chloride [as Cl],,Solids,Dissolved Solids,,
TCP3B,%Effect Static Renewal 7 Day Chronic Ceriodaphnia dubia,,Toxic Organics,Toxic Organics,,
TCP6C,%Effect Static Renewal 7Day Chronic Pimephales promelas,,Toxic Organics,Toxic Organics,,
680,"Carbon, tot organic [TOC]",,Organics,COD,,
720,"Cyanide, total [as CN]",,Inorganics,Toxic Inorganics,,"Cyanide, Total (as CN)"
51600,"pH Range Excursion, Maximum Duration",,pH,pH,,
51535,Haloacetic acids [HAA5],,Toxic Organics,Toxic Organics,,
TCC1E,%Effect Static 4 Day Chronic Raphidocelis subcapitata,,Aquatic Toxicity,Aquatic Toxicity,,
TGK1D,Pass/Fail Static 48Hr Chronic Macrocystis pyrifera,,Aquatic Toxicity,Aquatic Toxicity,,
TGC1E,Pass/Fail Static 4 Day Chronic Raphidocelis subcapitata,,Aquatic Toxicity,Aquatic Toxicity,,
51867,"Polychlorinated biphenyls [PCBs], sum of Aroclors",,Inorganics,Disinfectants,,
13501,"Strontium 90, total",,Other,Radiation,,
51874,Beta/photon emitters,,Other,Other,,
WC13B,"Chronic Mthd Sublethal Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, StatR8dmax C dubia",,Aquatic Toxicity,Aquatic Toxicity,,
WCP6C,"Chronic Mthd Sublethal Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, StatR7d P promelas",,Aquatic Toxicity,Aquatic Toxicity,,
WDN6J,"Acute Mthd Survival Endpt, %Effect, Median TSTaHo R/nR Pass/Fail, StatR96hr M beryllina",,Aquatic Toxicity,Aquatic Toxicity,,
WDN6L,"Acute Mthd Survival Endpt, %Effect, Median TSTaHo R/nR Pass/Fail, StatR96hr A affinis",,Aquatic Toxicity,Aquatic Toxicity,,
WEP3E,"Chronic Mthd, Survival Endpt %Effect, Growth Endpt Median TSTcHo R/nR Pass/Fail, StatR7d A bahia",,Aquatic Toxicity,Aquatic Toxicity,,
WEP6C,"Chronic Mthd, Survival Endpt %Effect, Growth Endpt Median TSTcHo R/nR Pass/Fail, StatR7d P promelas",,Aquatic Toxicity,Aquatic Toxicity,,
WEP6L,"Chronic Mthd, Survival Endpt %Effect, Growth Endpt Median TSTcHo R/nR Pass/Fail, StatR7d A affinis",,Aquatic Toxicity,Aquatic Toxicity,,
WF13B,"Chronic Mthd, Survival Endpt %Effect, Reprod Endpt Median TSTcHo R/nR Pass/Fail, StatR8dmax C dubia",,Aquatic Toxicity,Aquatic Toxicity,,
WGR1E,"Chronic Mthd Growth Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, Static96hr R subcapitata",,Aquatic Toxicity,Aquatic Toxicity,,
WHK3R,"Chronic Mthd Larval Development Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, Static48hr H rufescens",,Aquatic Toxicity,Aquatic Toxicity,,
WI33L,"Chronic Mthd Fertilization Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, Static40min S purpuratus",,Aquatic Toxicity,Aquatic Toxicity,,
WJK1D,"Chronic Mthd Germination Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, Static48hr M pyrifera",,Aquatic Toxicity,Aquatic Toxicity,,
WKK1D,"Chronic Mthd Germ Tube Length Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, Static48hr M pyrifera",,Aquatic Toxicity,Aquatic Toxicity,,
51933,Diazinon + Chlorpyrifos,,Toxic Organics,Toxic Organics,,
WH23L,"Chronic Mthd Larval Development Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, Stat72hr S purpuratus",,Aquatic Toxicity,Aquatic Toxicity,,
TSB6C,TU LC50 Static Renewal 96Hr Acute Pimephales promelas,,Toxic Organics,Toxic Organics,,
