GLOBAL ID,REPORTING YEAR,REPORTING MONTH,NON OPERATIONAL,INFLUENT VOLUME,INFLUENT TYPE,INFLUENT TYPE EST EXPLANATION,EFF NOT WITHIN 20 EXPLANATION,INFLUENT 0 EXPLANATION,WWTP 1,WWTP VOL 1,WWTP 2,WWTP VOL 2,WWTP 3,WWTP VOL 3,WWTP 4,WWTP VOL 4,WWTP 5,WWTP VOL 5
NPD100051591,2019,2,NA,315.053,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051591,2019,3,NA,348.259,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051558,2019,11,NA,22.61,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051591,2019,4,NA,342.858,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051591,2019,5,NA,366.519,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051591,2019,6,NA,364.401,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051591,2019,12,NA,377.014,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051845,2019,2,NA,1730,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051845,2019,3,NA,1467,metered,NA,"Wet weather influent flow in excess of Activated Sludge capacity is treated in Oxidation Ponds. During dry weather discharge to the Napa river is prohibited therefore dry weather influent flow in access of our recycled water demand is stored in Oxidation Ponds. During discharge season Oxidation Pond treated effluent is clarified, comingled with Activated Sludge effluent, disinfected, and discharged to the river.",NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051845,2019,7,NA,618,metered,NA,During the dry weather season river discharge is prohibited. Influent flow in excess of the recycled water demand is stored in Oxidation Ponds until recycled water demand increases above the plant influent flow when it is used to make up the difference.,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100035996,2019,2,NA,2259,estimated,Recycle usage volume for different categories is an estimated volume,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100035996,2019,6,NA,1569,estimated,Recycle usage volume for different categories is an estimated volume,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051553,2019,7,NA,4644.95,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051553,2019,10,NA,4580.27,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051498,2019,2,NA,571.3,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051498,2019,9,NA,257.6,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051498,2019,11,NA,248.3,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100037396,2019,4,NA,137.2,metered,NA,Just starting irrigation season some recycled water still going into storage reservoir,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100039533,2019,3,NA,28.07,metered,NA,There was alot of rain that entered the under drains of the sludge drying beds.,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100039533,2019,9,NA,8.94,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100039533,2019,10,NA,8.57,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100035503,2019,3,NA,115.21,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100035503,2019,5,NA,118.157,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100035503,2019,10,NA,102.781,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100035503,2019,12,NA,109.287,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100034585,2019,10,NA,13.62,estimated,"Flow is calculated gallons (4,437,000 gallons)",NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100027156,2019,5,NA,14.7,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100027156,2019,9,NA,9.4,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100030531,2019,10,NA,159,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100027156,2019,11,NA,10.9,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100030531,2019,11,NA,156,metered,NA,Water will begin being stored for winter months,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100030531,2019,12,NA,165,metered,NA,Water stored during winter months,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100027156,2019,12,NA,24,metered,NA,Rain water added to influent due to the seven acres of surface area in and around treatment ponds.,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100033117,2019,1,NA,20.48,metered,NA,Due to seasonal discharge requirements water stored in pond#4,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100033117,2019,2,NA,29.86,metered,NA,Due to seasonal discharge requirements water held in pond #4 storage,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051634,2019,1,NA,55.6,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100006793,2019,5,X,0,NA,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100006793,2019,6,X,0,NA,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100006793,2019,11,X,0,NA,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100034585,2019,9,NA,13.75,estimated,"Flow is metered in gallons (4,481,000 gallons)",NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051618,2019,8,NA,240.6,metered,NA,Facility has a 62 million gallon secondary treated storage reservoir.,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100001067,2019,2,NA,8.89,estimated,Influent flow is considered equal to effluent flow because influent flow is not separately measured.,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100001067,2019,3,NA,7.29,estimated,Influent flow is considered equal to effluent flow because influent flow is not separately measured.,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100001039,2019,2,NA,870,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100001039,2019,4,NA,710,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100001039,2019,7,NA,670,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100001039,2019,9,NA,660,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100001067,2019,10,NA,6.23,estimated,Influent flow is considered equal to effluent flow because influent flow is not separately measured.,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100026851,2019,2,NA,222.2,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100026851,2019,5,NA,248.19,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100026851,2019,6,NA,243.5,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100026851,2019,7,NA,246.1,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100026851,2019,9,NA,247.64,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100026851,2019,10,NA,253.33,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100000609,2019,4,NA,1.27,estimated,no inf flow meter,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100000609,2019,5,NA,0.78,estimated,no inf flow meter,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100034585,2019,11,NA,13.82,estimated,"Flow is metered in gallons (4,504,000 gallons)",NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100034585,2019,12,NA,14.88,estimated,"Flow is metered in gallons (4,850,000 gallons)",NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100000609,2019,11,NA,0.8,estimated,no inf flow meter,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100027318,2019,3,NA,200.58,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100027318,2019,5,NA,203.77,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100027318,2019,9,NA,206.35,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100027318,2019,10,NA,217.34,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051610,2019,7,NA,198.3,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051534,2019,2,NA,157.8,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051592,2019,4,NA,181,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
