CWNS_ID,DUMMY_ID,FACILITY_NAME,PERMIT_NUMBER,TOTAL_RES_POPULATION_2022,FACILITY_TYPE,CURRENT_DESIGN_FLOW,COUNTY_NAME,STATE_CODE,LATITUDE,LONGITUDE,CITY
53001915001,53001915001,SNOQUALMIE PASS UD TREATMENT,['WA0009005'],624.0,Collection: Pump Stations,0.37,Kittitas,WA,47.3908,-121.3892,Snoqualmie Pass
53001915001,53001915001t1,SNOQUALMIE PASS UD TREATMENT (Treatment Plant),['WA0009005'],624.0,Treatment Plant,0.37,Kittitas,WA,47.3908,-121.3892,Snoqualmie Pass
53001915001,53001915001t0,SNOQUALMIE PASS UD TREATMENT (Collection: Separate Sewers),['WA0009005'],624.0,Collection: Separate Sewers,0.37,Kittitas,WA,47.3908,-121.3892,Snoqualmie Pass
48000209001,48000209001,Etter CS - Cactus WWTP,,278.0,Collection: Separate Sewers,,,TX,36.047711,-101.992435,Dumas
48003035002,48003035002t1,Upper Gilleland Creek WWTP (Treatment Plant),['TX0094927'],30674.0,Treatment Plant,3.0,,TX,30.4193,-97.6048,Pflugerville
48003035002,48003035002t0,Upper Gilleland Creek WWTP (Collection: Separate Sewers),['TX0094927'],30674.0,Collection: Separate Sewers,3.0,,TX,30.4193,-97.6048,Pflugerville
48003132001,48003132001,Lometa CS - Kirby Creek LCRA,['TX0074888'],776.0,Collection: Separate Sewers,,,TX,31.2017,-98.3986,Austin
48003158001,48003158001t1,Hills of Lakeway WWTP (Treatment Plant),['TX0083615'],903.0,Treatment Plant,0.25,,TX,32.841808,-97.187805,Hurst
48003158001,48003158001t0,Hills of Lakeway WWTP (Collection: Separate Sewers),['TX0083615'],903.0,Collection: Separate Sewers,0.25,,TX,32.841808,-97.187805,Hurst
48004114001,48004114001,Blue Mound CS - Village Creek WWTP,,2547.0,Collection: Separate Sewers,,,TX,32.858681,-97.344532,Fort Worth
48004320001,48004320001t0,Rice WWTP (Collection: Separate Sewers),"['TX0011028', 'TX0117056']",347.0,Collection: Separate Sewers,0.066,,TX,32.238869,-96.506542,Rice
48004320001,48004320001t1,Rice WWTP (Treatment Plant),"['TX0011028', 'TX0117056']",347.0,Treatment Plant,0.066,,TX,32.238869,-96.506542,Rice
48004338001,48004338001,Watauga CS - Village Creek WWTP,,26773.0,Collection: Separate Sewers,,,TX,32.873388,-97.252693,Fort Worth
48005069001,48005069001t0,Eustace WWTP (Collection: Separate Sewers),['TX0027481'],972.0,Collection: Separate Sewers,0.125,,TX,32.3021,-96.0002,Eustace
48005069001,48005069001t1,Eustace WWTP (Treatment Plant),['TX0027481'],972.0,Treatment Plant,0.125,,TX,32.3021,-96.0002,Eustace
48007014001,48007014001t1,Sweeny WWTP (Treatment Plant),['TX0024511'],4399.0,Treatment Plant,0.98,,TX,29.0566,-95.6758,Sweeny
48007014001,48007014001t0,Sweeny WWTP (Collection: Separate Sewers),['TX0024511'],4399.0,Collection: Separate Sewers,0.98,,TX,29.0566,-95.6758,Sweeny
25000940001,25000940001,Newbury On-site Septic Systems,,5053.76,Onsite Wastewater Treatment System,,,MA,42.783433,-70.844479,
25001350001,25001350001,Westhampton On-Site Septic Systems,,1604.8,Onsite Wastewater Treatment System,,,MA,42.303214,-72.771378,
8000087001,8000087001t0,PURGATORY WWTP (Collection: Separate Sewers),"['CO0581010', 'COG589010']",1500.0,Collection: Separate Sewers,0.25,La Plata,CO,37.634497,-107.806298,Durango
8000087001,8000087001t1,PURGATORY WWTP (Treatment Plant),"['CO0581010', 'COG589010']",1500.0,Treatment Plant,0.25,La Plata,CO,37.634497,-107.806298,Durango
8000166001,8000166001t1,KIOWA WWTP (Collection: Interceptor Sewers),['CO0033405'],1450.0,Collection: Interceptor Sewers,0.27,Elbert,CO,39.351194,-104.469944,Kiowa
8000166001,8000166001t0,KIOWA WWTP (Collection: Combined Sewers),['CO0033405'],1450.0,Collection: Combined Sewers,0.27,Elbert,CO,39.351194,-104.469944,Kiowa
8000166001,8000166001t2,KIOWA WWTP (Treatment Plant),['CO0033405'],1450.0,Treatment Plant,0.27,Elbert,CO,39.351194,-104.469944,Kiowa
8000324001,8000324001t1,ACADEMY WWTP (Treatment Plant),['COG589020'],810.0,Treatment Plant,0.116,El Paso,CO,39.0518,-104.7951,Colorado Springs
8000324001,8000324001t0,ACADEMY WWTP (Collection: Separate Sewers),['COG589020'],810.0,Collection: Separate Sewers,0.116,El Paso,CO,39.0518,-104.7951,Colorado Springs
8000500014,8000500014,JOHNSON'S VILLAGE / Chaffee County,,229.0,Collection: Separate Sewers,,,CO,38.812626,-106.102567,Buena Vista
4002511003,4002511003t1,Prescott Airport WWTF (Water Reuse),['P105733'],17972.0,Water Reuse,4.75,Yavapai,AZ,34.6592,-112.4011,Prescott
4002511003,4002511003t0,Prescott Airport WWTF (Treatment Plant),['P105733'],17972.0,Treatment Plant,4.75,Yavapai,AZ,34.6592,-112.4011,Prescott
9000170002,9000170002t0,BRISTOL STP (Collection: Separate Sewers),['CT0100374'],55405.0,Collection: Separate Sewers,10.75,Hartford,CT,41.66023,-72.92064,Bristol
9000170002,9000170002t1,BRISTOL STP (Treatment Plant),['CT0100374'],55405.0,Treatment Plant,10.75,Hartford,CT,41.66023,-72.92064,Bristol
9000641007,9000641007,BLOOMFIELD SAN SEWERS,,21480.0,Collection: Separate Sewers,,,CT,41.827258,-72.730196,Bloomfield
9000890001,9000890001t0,NEW BRITAIN SEWER SYSTEM (Collection: Separate Sewers),,74082.0,Collection: Separate Sewers,,Hartford,CT,41.66823303,-72.78259695,New Britain
9000890001,9000890001t2,NEW BRITAIN SEWER SYSTEM (Water Reuse),,74082.0,Water Reuse,,Hartford,CT,41.66823303,-72.78259695,New Britain
9000890001,9000890001,NEW BRITAIN SEWER SYSTEM,,74082.0,Collection: Pump Stations,,Hartford,CT,41.66823303,-72.78259695,New Britain
9000890001,9000890001t1,NEW BRITAIN SEWER SYSTEM (Collection: Interceptor Sewers),,74082.0,Collection: Interceptor Sewers,,Hartford,CT,41.66823303,-72.78259695,New Britain
34001452001,34001452001,Westfield Town CS,,18159.0,Collection: Separate Sewers,,,NJ,40.66195602,-74.34730541,Westfield
34002543001,34002543001,Lebanon Township - CS,,6056.0,Collection: Separate Sewers,,,NJ,40.71747375,-74.89156657,Glen Gardner
34008357001,34008357001,Phillipsburg Town - CS/WWTP,"['NJ0024716', 'NJG146242']",19404.0,Collection: Pump Stations,3.7,Warren,NJ,40.67949645,-75.17502817,Phillipsburg
34008357001,34008357001t1,Phillipsburg Town - CS/WWTP (Treatment Plant),"['NJ0024716', 'NJG146242']",19404.0,Treatment Plant,3.7,Warren,NJ,40.67949645,-75.17502817,Phillipsburg
34008357001,34008357001t0,Phillipsburg Town - CS/WWTP (Collection: Separate Sewers),"['NJ0024716', 'NJG146242']",19404.0,Collection: Separate Sewers,3.7,Warren,NJ,40.67949645,-75.17502817,Phillipsburg
39000254001,39000254001t1,West Mansfield WWTP & Sewer System (Treatment Plant),['05-7398  '],715.0,Treatment Plant,0.08,,OH,40.4023,-83.5428,West Mansfield
39000254001,39000254001t0,West Mansfield WWTP & Sewer System (Collection: Separate Sewers),['05-7398  '],715.0,Collection: Separate Sewers,0.08,,OH,40.4023,-83.5428,West Mansfield
39001199006,39001199006t1,Butler Co Queen Acres WRF (Treatment Plant),['OH0024261'],1431.0,Treatment Plant,0.6,,OH,39.3913,-84.6459,Hamilton
39001199006,39001199006t0,Butler Co Queen Acres WRF (Collection: Separate Sewers),['OH0024261'],1431.0,Collection: Separate Sewers,0.6,,OH,39.3913,-84.6459,Hamilton
39007758001,39007758001,South Euclid Sewer System,,21906.0,Collection: Separate Sewers,,Cuyahoga,OH,41.521944,-81.527778,Cleveland
26000039001,26000039001t1,OLIVET WWTP (Treatment Plant),['MIG580267'],1792.0,Treatment Plant,0.25,,MI,42.449,-84.9209,Olivet
