"CWNS_ID","FACILITY_ID","STATE_CODE","CURRENT_EFFLUENT_TREATMENT_LEVEL","CURRENT_DISINFECTION_FLAG","FUTURE_EFFLUENT_TREATMENT_LEVEL","FUTURE_DISINFECTION_FLAG"
"06003037001",1175402,"CA","Advanced","Y","Advanced","Y"
"06005113001",1175644,"CA","Secondary","N","Secondary","N"
"06005114001",1175645,"CA","Secondary","Y","Secondary","Y"
"06006004001",1175857,"CA","Advanced","Y","Advanced","Y"
"06006027001",1175883,"CA","Secondary","N","Secondary","N"
"06008019001",1175972,"CA","Advanced","Y","Advanced","Y"
"06005082003",1175600,"CA","Secondary","Y","Secondary","Y"
"06005179001",1175689,"CA","Secondary","N","Secondary","N"
"06009015003",1176047,"CA","Advanced","Y","Advanced","Y"
"06002033001",1175290,"CA","Secondary","N","Secondary","N"
"06003060001",1175427,"CA","Advanced","Y","Advanced","Y"
"06007019001",1175928,"CA","Advanced","Y","Advanced","Y"
"06007041001",1175940,"CA","Secondary","N","Secondary","N"
"06001013001",1175183,"CA","Secondary","Y","Secondary","Y"
"06001045001",1175209,"CA","Advanced","Y","Advanced","Y"
"06005078001",1175596,"CA","Advanced","Y","Advanced","Y"
"06005300001",1175756,"CA","Secondary","N","Secondary","N"
"06006002001",1175855,"CA","Secondary","Y","Secondary","Y"
"06008100001",1176031,"CA","Advanced","Y","Advanced","Y"
"06005279001",1238822,"CA","Secondary","Y","Secondary","Y"
"06002052001",1175310,"CA","Secondary","N","Secondary","N"
"06003010001",1175379,"CA","Secondary","Y","Secondary","Y"
"06003081001",1175445,"CA","Secondary","N","Secondary","N"
"06004026001",1175512,"CA","Advanced","Y","Advanced","Y"
"06005205001",1175708,"CA","Advanced","Y","Advanced","Y"
"06003004001",1175375,"CA","Advanced","N","Advanced","N"
"06005060004",1175582,"CA","Secondary","N","Secondary","N"
"06006033001",1175886,"CA","Secondary","N","Secondary","N"
"06001003001",1175169,"CA","Secondary","Y","Secondary","Y"
"06002023001",1175281,"CA","Advanced","Y","Advanced","Y"
"06002082001",1175340,"CA","Secondary","Y","Advanced","Y"
"06003080001",1175444,"CA","Secondary","N","Secondary","N"
"06005158001",1175676,"CA","Secondary","N","Secondary","N"
"06007002001",1175909,"CA","Secondary","Y","Secondary","Y"
"06008034001",1175989,"CA","Advanced","Y","Advanced","Y"
"06009006001",1176037,"CA","Advanced","Y","Advanced","Y"
"06009019001",1176050,"CA","Secondary","N","Secondary","N"
"06002108001",1175347,"CA","Advanced","Y","Advanced","Y"
"06005236001",1175723,"CA","Secondary","Y","Secondary","Y"
"06005308001",1175759,"CA","Secondary","N","Secondary","N"
"06007016001",1175924,"CA","Secondary","N","Secondary","N"
"06008024001",1175978,"CA","Secondary","Y","Secondary","Y"
"06002118001",1175353,"CA","Advanced","Y","Advanced","Y"
"06004006001",1175461,"CA","Advanced","Y","Advanced","Y"
"06004027001",1175513,"CA","Secondary","Y","Secondary","Y"
"06005086001",1175607,"CA","Secondary","N","Secondary","N"
"06008007001",1175956,"CA","Advanced","Y","Advanced","Y"
"06008052001",1176004,"CA","Advanced","Y","Advanced","Y"
"06005226001",1175717,"CA","Secondary","Y","Secondary","Y"
"06005262001",1175743,"CA","Secondary","N","Secondary","N"
"06006009001",1175862,"CA","Advanced","Y","Advanced","Y"
"06007010001",1175920,"CA","Secondary","Y","Secondary","Y"
"06001045003",1175211,"CA","Secondary","N","Secondary","N"
"06002166001",1175369,"CA","Secondary","N","Secondary","N"
"06005146001",1175666,"CA","Advanced","N","Advanced","N"
"06007030001",1175937,"CA","Secondary","N","Secondary","N"
"06008006006",1175954,"CA","Advanced","Y","Advanced","Y"
"06008020002",1175974,"CA","Advanced","Y","Advanced","Y"
"06003033001",3486842,"CA","Secondary","Y","Secondary","Y"
"06001065001",1175224,"CA","Secondary","N","Secondary","N"
"06001012001",1175182,"CA","Secondary","Y","Secondary","Y"
"06004029001",1175514,"CA","Advanced","Y","Advanced","Y"
"06005142001",1175663,"CA","Secondary","N","Secondary","N"
"06005098002",3479031,"CA","Advanced","Y","Advanced","Y"
"06004009004",1175480,"CA","Advanced","Y","Advanced","Y"
"06004009007",1175483,"CA","Advanced","Y","Advanced","Y"
"06005058001",1175577,"CA","Secondary","N","Secondary","N"
"06005232001",1175720,"CA","Advanced","Y","Advanced","Y"
"06009076001",1176095,"CA","Advanced","Y","Advanced","Y"
"06007014001",1175922,"CA","Secondary","Y","Secondary","Y"
"06007029001",1175936,"CA","Advanced","N","Advanced","N"
"06005009001",1175529,"CA","Advanced","Y","Advanced","Y"
"06005010001",1175530,"CA","Advanced","Y","Advanced","Y"
"06005026001",1175548,"CA","Secondary","N","Secondary","N"
"06005218001",1175712,"CA","Secondary","N","Secondary","N"
"06005265001",1175744,"CA","Secondary","Y","Secondary","Y"
"06005783001",1175853,"CA","Secondary","Y","Secondary","Y"
"06003035001",1238813,"CA","Secondary","N","Secondary","N"
"06003042001",1175409,"CA","Advanced","Y","Advanced","Y"
"06004008010",1175469,"CA","Secondary","Y","Secondary","Y"
"06005023002",1175544,"CA","Advanced","Y","Advanced","Y"
"06005004001",1238814,"CA","Advanced","Y","Advanced","Y"
"06002060007",1175319,"CA","Secondary","Y","Secondary","Y"
"06005012001",1175534,"CA","Secondary","N","Secondary","N"
"06005077001",1175595,"CA","Advanced","Y","Advanced","Y"
"06005105001",1175637,"CA","Advanced","Y","Advanced","Y"
"06008010006",3486596,"CA","Advanced","Y","Advanced","Y"
"06006009002",3522480,"CA","Advanced","Y","Advanced","Y"
"06002043001",1175301,"CA","Advanced","N","Advanced","N"
"06005178001",1175688,"CA","Secondary","N","Secondary","N"
"06005041001",1175561,"CA","Advanced","Y","Advanced","Y"
"06005065001",1175586,"CA","NA","N","NA","N"
"06009032001",1176070,"CA","Advanced","Y","Advanced","Y"
"06005285001",1238823,"CA","Secondary","Y","Secondary","Y"
"06002032005",443709,"CA","Secondary","N","Secondary","N"
"06001168001",3477030,"CA","Secondary","N","Secondary","N"
"06002032003",1175289,"CA","Secondary","N","Secondary","N"
"06002057001",1175314,"CA","Advanced","Y","Advanced","Y"
"06005035001",1175556,"CA","Secondary","Y","Secondary","Y"
"06005125001",1175656,"CA","Secondary","N","Secondary","N"
"06005126001",1175657,"CA","Secondary","N","Secondary","N"
"06005271001",1175746,"CA","Secondary","N","Secondary","N"
"06005306001",1175758,"CA","Secondary","N","Secondary","N"
"06009036001",1176075,"CA","Advanced","Y","Advanced","Y"
"06001016001",1175185,"CA","Secondary","Y","Secondary","Y"
"06001047001",1175213,"CA","Secondary","Y","Secondary","Y"
"06004009008",1175484,"CA","Advanced","Y","Advanced","Y"
"06004020001",1175507,"CA","Secondary","N","Secondary","Y"
"06005051001",1175570,"CA","Secondary","N","Secondary","N"
"06008004001",1175948,"CA","Advanced","Y","Advanced","Y"
"06005080001",1238817,"CA","Secondary","N","Secondary","N"
"06004032001",1175516,"CA","Advanced","Y","Advanced","Y"
"06005024001",1175545,"CA","Secondary","N","Secondary","N"
"06005257001",1175740,"CA","Advanced","Y","Advanced","Y"
"06008006002",1175951,"CA","Advanced","Y","Advanced","Y"
"06006028002",3349051,"CA","Secondary","N","Secondary","N"
"06004017001",1175504,"CA","Advanced","N","Advanced","N"
"06001027001",1175195,"CA","Advanced","Y","Advanced","Y"
"06001042001",1175207,"CA","Secondary","Y","Secondary","Y"
"06005107001",1175639,"CA","Primary","N","Advanced","Y"
"06005282001",1175749,"CA","Secondary","Y","Secondary","Y"
"06005607001",1175831,"CA","Secondary","N","Secondary","N"
"06005511004",3477631,"CA","Secondary","N","Secondary","N"
"06001049001",1175215,"CA","Secondary","N","Secondary","N"
"06002092001",1175344,"CA","Secondary","N","Secondary","N"
"06004009005",1175481,"CA","Advanced","Y","Advanced","Y"
"06005068001",1175588,"CA","Secondary","N","Advanced","Y"
"06007021001",1175929,"CA","Secondary","N","Secondary","N"
"06008022001",1175976,"CA","Secondary","Y","Secondary","Y"
"06003014001",1175382,"CA","Secondary","N","Secondary","Y"
"06005082002",1175599,"CA","Secondary","Y","Secondary","Y"
"06005241001",1175728,"CA","Advanced","N","Advanced","N"
"06005249001",1175733,"CA","Advanced","Y","Advanced","Y"
"06009038001",1176076,"CA","Advanced","N","Advanced","N"
"06002042001",1175300,"CA","Secondary","N","Secondary","N"
"06005045001",1175565,"CA","Advanced","Y","Advanced","Y"
"06005054001",1175573,"CA","Secondary","Y","Secondary","Y"
"06001007001",1175174,"CA","Secondary","N","Secondary","N"
"06004009010",1175486,"CA","Advanced","Y","Advanced","Y"
"06005049001",1175569,"CA","Secondary","Y","Secondary","Y"
"06005124001",1175655,"CA","Secondary","N","Secondary","N"
"06005368001",1175795,"CA","Advanced","Y","Advanced","Y"
"06008006001",1175950,"CA","Advanced","Y","Advanced","Y"
"06005014001",1175536,"CA","Secondary","N","Secondary","N"
"06005366001",1175793,"CA","Secondary","Y","Secondary","Y"
"06009039001",1176077,"CA","Secondary","N","Secondary","N"
"06009041002",1176080,"CA","Advanced","Y","Advanced","Y"
"06009075001",1176094,"CA","Advanced","Y","Advanced","Y"
"06000000081",3607551,"CA","Advanced","Y","Advanced","Y"
"06000000083",3607553,"CA","Secondary","Y","Advanced","Y"
"06000000082",3607552,"CA","Advanced","Y","Advanced","Y"
"06000000068",3606909,"CA","Advanced","Y","Advanced","Y"
"06000000065",3606861,"CA","Advanced","Y","Advanced","Y"
"06005296001",3408470,"CA","Advanced","N","Advanced","N"
"06001054001",1175220,"CA","Secondary","N","Secondary","N"
"06002021001",1175279,"CA","Secondary","N","Secondary","N"
"06005162001",1175680,"CA","Secondary","N","Secondary","N"
"06008010001",1175959,"CA","Advanced","Y","Advanced","Y"
"06009041001",1176079,"CA","Advanced","Y","Advanced","Y"
"06005019002",3478130,"CA","Advanced","Y","Advanced","Y"
"06009080001",392614,"CA","Secondary","N","Secondary","N"
"06005261001",1175742,"CA","Secondary","N","Secondary","N"
"06009031002",1176067,"CA","Advanced","Y","Advanced","Y"
"06001010005",1175180,"CA","Secondary","Y","Secondary","Y"
"06003038001",1175403,"CA","Secondary","N","Secondary","N"
"06005249003",1175735,"CA","Advanced","Y","Advanced","Y"
"06005244001",1175730,"CA","Secondary","Y","Secondary","Y"
"06007025001",1175933,"CA","Secondary","Y","Secondary","Y"
"06009069001",3368012,"CA","Secondary","N","Secondary","N"
"06001048001",1175214,"CA","Secondary","N","Secondary","N"
"06003005001",1175376,"CA","Secondary","N","Secondary","N"
"06003061001",1175428,"CA","Secondary","N","Secondary","N"
"06005159001",1175677,"CA","Secondary","N","Secondary","N"
"06005310001",1175761,"CA","Secondary","N","Secondary","N"
"06008001001",1175945,"CA","Advanced","Y","Advanced","Y"
"06001028001",1175196,"CA","Secondary","Y","Secondary","Y"
"06002123001",1175357,"CA","Secondary","Y","Secondary","Y"
"06004016001",1175503,"CA","Secondary","Y","Secondary","Y"
"06005038001",1175558,"CA","Secondary","N","Secondary","N"
"06005082004",1175601,"CA","Secondary","N","Secondary","N"
"06005186001",1175695,"CA","Secondary","N","Secondary","N"
"06005349001",1175784,"CA","Secondary","Y","Secondary","Y"
"06008041002",1175996,"CA","Advanced","Y","Advanced","Y"
"06009012001",1176043,"CA","Secondary","Y","Secondary","Y"
"06009031004",1176069,"CA","Advanced","Y","Advanced","Y"
"06001070001",1175229,"CA","Advanced","Y","Advanced","Y"
"06004003001",1175458,"CA","Advanced","Y","Advanced","Y"
"06004009009",1175485,"CA","Advanced","Y","Advanced","Y"
"06005351001",1175785,"CA","Secondary","N","Secondary","N"
"06007005001",1175911,"CA","Secondary","Y","Secondary","Y"
"06008080001",1176025,"CA","Secondary","N","Secondary","N"
"06004009001",1175477,"CA","Secondary","Y","Secondary","Y"
"06000000073",3607081,"CA","Advanced","Y","Advanced","Y"
"06005082001",1238818,"CA","Secondary","N","Secondary","N"
"06009074002",3334975,"CA","Advanced","Y","Advanced","Y"
"06001008001",1175175,"CA","Secondary","Y","Secondary","Y"
"06002029001",1175287,"CA","Advanced","Y","Advanced","Y"
"06002120001",1175354,"CA","Secondary","N","Secondary","N"
"06002121001",1175355,"CA","Secondary","N","Secondary","N"
"06005039001",1175559,"CA","Secondary","N","Secondary","N"
"06002039001",1175297,"CA","Secondary","Y","Secondary","Y"
"06005316001",1175765,"CA","Secondary","N","Secondary","N"
"06005160001",1175678,"CA","Secondary","Y","Secondary","Y"
"06005184001",1175693,"CA","Advanced","Y","Advanced","Y"
"06005682001",1175846,"CA","Advanced","N","Advanced","N"
"06005227002",3520617,"CA","Advanced","Y","Advanced","Y"
"06005031001",1175553,"CA","Advanced","Y","Advanced","Y"
"06009020001",1176052,"CA","Secondary","N","Secondary","N"
"06003003001",1175374,"CA","Secondary","N","Secondary","N"
"06003058001",1175426,"CA","Secondary","N","Secondary","N"
"06003070001",1175438,"CA","Secondary","N","Secondary","N"
"06004011010",1175498,"CA","Secondary","N","Secondary","N"
"06005097001",1175617,"CA","Secondary","N","Secondary","N"
"06004014001",1175501,"CA","Advanced","Y","Advanced","Y"
"06005284001",1175750,"CA","Secondary","Y","Secondary","Y"
"06005654001",1175840,"CA","Secondary","N","Secondary","N"
"06008022002",1175977,"CA","Secondary","Y","Secondary","Y"
"06002032004",442052,"CA","Secondary","Y","Advanced","Y"
"06001032001",1175200,"CA","Secondary","Y","Secondary","Y"
"06005079001",1175597,"CA","Secondary","N","Secondary","N"
"06005198001",1175702,"CA","Advanced","Y","Advanced","Y"
"06005511002",1175815,"CA","Secondary","Y","Secondary","Y"
"06009014002",1176046,"CA","Advanced","Y","Advanced","Y"
"06009028001",1176063,"CA","Advanced","Y","Advanced","Y"
"06006012501",3533076,"CA","","","Advanced","Y"
"06009074001",1176093,"CA","Advanced","Y","Advanced","Y"
"06002011001",1175272,"CA","Secondary","Y","Secondary","Y"
"06002127001",1175359,"CA","Advanced","Y","Advanced","Y"
"06003036001",1175401,"CA","Secondary","Y","Secondary","Y"
"06005046001",1175566,"CA","Secondary","Y","Secondary","Y"
"06005272001",1175747,"CA","Secondary","N","Secondary","N"
"06007018001",1175927,"CA","Advanced","Y","Advanced","Y"
"06008027001",1175982,"CA","Advanced","Y","Advanced","Y"
"06008085001",1176028,"CA","Advanced","Y","Advanced","Y"
"06003019001",1175386,"CA","Secondary","Y","Secondary","Y"
"06009004001",1176034,"CA","Secondary","Y","Secondary","Y"
"06005094001",1238819,"CA","Secondary","Y","Secondary","Y"
"06002034002",1175292,"CA","Secondary","N","Secondary","N"
"06002047001",1175307,"CA","Advanced","Y","Advanced","Y"
"06003008001",1175377,"CA","Secondary","Y","Secondary","Y"
"06003063001",1175430,"CA","Advanced","Y","Advanced","Y"
"06005071001",1175590,"CA","Secondary","N","Secondary","N"
"06004022002",1175509,"CA","Secondary","N","Secondary","N"
"06005082007",1175602,"CA","Advanced","Y","Advanced","Y"
"06005099001",1175619,"CA","Secondary","Y","Secondary","Y"
"06005235001",1175722,"CA","Secondary","N","Secondary","N"
"06005693001",1175847,"CA","Secondary","Y","Secondary","Y"
"06008020001",1175973,"CA","Advanced","Y","Advanced","Y"
"06009011001",1176042,"CA","Secondary","N","Secondary","N"
"06009040001",1176078,"CA","Advanced","Y","Advanced","Y"
"06005345001",1175781,"CA","Secondary","N","Secondary","N"
"06006031001",1175885,"CA","Secondary","N","Secondary","N"
"06008016003",1175969,"CA","Advanced","Y","Advanced","Y"
"06001038001",1175204,"CA","Secondary","N","Secondary","N"
"06002072001",1175334,"CA","Secondary","N","Secondary","N"
"06005204001",1175707,"CA","Secondary","Y","Secondary","Y"
"06005347001",1175782,"CA","Secondary","N","Secondary","N"
"06007770001",3522264,"CA","Advanced","Y","Advanced","Y"
"06004009014",3482611,"CA","Secondary","Y","Secondary","Y"
"06002032002",1175288,"CA","Primary","N","Primary","N"
"06002038001",1175296,"CA","Advanced","Y","Advanced","Y"
"06005006001",1175527,"CA","Secondary","N","Secondary","N"
"06000000117",3608103,"CA","Advanced","Y","Advanced","Y"
"06000000140",3608711,"CA","Secondary","N","Secondary","N"
"06002071001",1175331,"CA","Advanced","Y","Advanced","Y"
"06000000132",3608439,"CA","","","Advanced","Y"
"06005010002",1175531,"CA","Advanced","Y","Advanced","Y"
"06004007001",1175462,"CA","Advanced","Y","Advanced","Y"
"06005177001",1175687,"CA","Secondary","N","Secondary","N"
"06004002001",1175457,"CA","Advanced","Y","Advanced","Y"
"06000000154",3608935,"CA","","","Secondary","Y"
"06000000195",3609479,"CA","","","Advanced","Y"
"06000000105",3607961,"CA","Advanced","Y","Advanced","Y"
"06000000090",3607791,"CA","Advanced","Y","Advanced","Y"
"06000000102",3607908,"CA","","","Advanced","Y"
"06009031001",1176066,"CA","Primary","Y","Primary","Y"
"06000000153",3608861,"CA","","","Secondary","N"
"06002012001",1175273,"CA","Advanced","Y","Advanced","Y"
"06005011001",1175532,"CA","Secondary","N","Secondary","N"
"06000000122",3608176,"CA","Advanced","Y","Advanced","Y"
"06002040001",1175298,"CA","Secondary","Y","Advanced","Y"
"06002006001",1175267,"CA","Advanced","Y","Advanced","Y"
"06003040001",1175407,"CA","Secondary","N","Secondary","N"
"06000000165",3609119,"CA","Secondary","N","Secondary","N"
"06003021001",1175388,"CA","Advanced","Y","Advanced","Y"
"06002109001",1175348,"CA","Advanced","N","Advanced","N"
"06002046001",1175306,"CA","Secondary","N","Secondary","N"
"06003050001",1175418,"CA","Advanced","Y","Advanced","Y"
"06005061001",1238816,"CA","Advanced","Y","Advanced","Y"
"06002054001",3486530,"CA","Advanced","Y","Advanced","Y"
"06000000116",3608102,"CA","Primary","N","Primary","N"
"06003049001",1175417,"CA","Advanced","Y","Advanced","Y"
"06008020003",3518636,"CA","Advanced","Y","Advanced","Y"
"06009065001",2948926,"CA","Advanced","Y","Advanced","Y"
"06005234001",1238821,"CA","Advanced","Y","Advanced","Y"
"06000000125",3608290,"CA","","","Advanced","Y"
"06000000181",3609275,"CA","Secondary","Y","Secondary","Y"
"06000000099",3607878,"CA","Secondary","N","Secondary","N"
"06000000124",3608283,"CA","Advanced","Y","Advanced","Y"
"06000000137",3608581,"CA","Secondary","Y","Secondary","Y"
"06002024001",1175282,"CA","Advanced","Y","Advanced","Y"
"06000000089",3607790,"CA","Advanced","Y","Advanced","Y"
"06000000123",3608282,"CA","Advanced","Y","Advanced","Y"
"06002030001",1238810,"CA","Secondary","Y","Secondary","Y"
"06002015001",1175274,"CA","Secondary","Y","Advanced","Y"
"06000000115",3608101,"CA","Primary","N","Primary","N"
"06006041001",1175894,"CA","Secondary","N","Secondary","N"
"06000000171",3609136,"CA","Advanced","Y","Advanced","Y"
"06003017001",1238812,"CA","Advanced","Y","Advanced","Y"
"06006005001",1175858,"CA","Secondary","N","Secondary","N"
"06002036001",1175294,"CA","Advanced","Y","Advanced","Y"
"06005043001",1175563,"CA","Secondary","N","Secondary","N"
"06000000098",3607877,"CA","Advanced","Y","Advanced","Y"
"06003028001",1175395,"CA","Secondary","N","Advanced","Y"
"06000000174",3609167,"CA","Secondary","Y","Secondary","Y"
"06004010002",1175492,"CA","Advanced","Y","Advanced","Y"
"06001099001",1175246,"CA","Advanced","Y","Advanced","Y"
"06005227001",1238820,"CA","Advanced","Y","Advanced","Y"
"06002081001",1175339,"CA","Secondary","Y","Advanced","Y"
"06000000114",3608100,"CA","Primary","N","Primary","N"
"06000000091",3607829,"CA","Advanced","Y","Advanced","Y"
"06001041001",1175206,"CA","Secondary","Y","Secondary","Y"
"06001011001",1175181,"CA","Secondary","Y","Secondary","Y"
"06005042003",1175562,"CA","Secondary","N","Secondary","N"
"06001035001",1175201,"CA","Secondary","N","Advanced","Y"
"06005311001",1175762,"CA","Secondary","N","Secondary","N"
"06005240001",1175727,"CA","Secondary","Y","Secondary","Y"
"06005143001",1175664,"CA","Secondary","N","Secondary","N"
"06005106001",1175638,"CA","Advanced","Y","Advanced","Y"
"06003016001",1175384,"CA","Secondary","N","Secondary","N"
"06007069001",1175944,"CA","Secondary","N","Secondary","N"
"06002044004",1175304,"CA","Secondary","Y","Secondary","Y"
"06005098001",1175618,"CA","Advanced","Y","Advanced","Y"
"06008029001",1175985,"CA","Advanced","Y","Advanced","Y"
"06003022001",1175389,"CA","Secondary","N","Secondary","N"
"06005040001",1175560,"CA","Secondary","Y","Secondary","Y"
"06005283001",3106372,"CA","Advanced","Y","Advanced","Y"
"06007011001",1238829,"CA","Secondary","Y","Advanced","Y"
"06001064001",1175223,"CA","Secondary","N","Secondary","N"
"06001096001",1175243,"CA","Advanced","Y","Advanced","Y"
"06006012001",1175865,"CA","Secondary","N","Secondary","N"
"06005056001",1175575,"CA","Secondary","N","Secondary","N"
"06005001001",1175523,"CA","Advanced","Y","Advanced","Y"
"06005088002",1175609,"CA","Secondary","Y","Secondary","Y"
"06007013001",1175921,"CA","Secondary","N","Secondary","N"
"06001050001",1175216,"CA","Secondary","N","Secondary","N"
"06005266001",1175745,"CA","Secondary","N","Secondary","N"
"06005109001",1175641,"CA","Advanced","Y","Advanced","Y"
"06003053001",1175421,"CA","Secondary","Y","Secondary","Y"
"06005008001",1175528,"CA","Secondary","N","Secondary","N"
"06005315002",1175764,"CA","Secondary","N","Secondary","N"
"06005319001",1175766,"CA","Secondary","N","Secondary","N"
"06005681001",1175845,"CA","Secondary","N","Secondary","N"
"06006021001",1175876,"CA","Secondary","Y","Secondary","Y"
"06006013001",1175866,"CA","Secondary","Y","Secondary","Y"
"06005112001",1175643,"CA","Secondary","N","Advanced","Y"
"06007023001",1175931,"CA","Advanced","Y","Advanced","Y"
"06006011001",1175864,"CA","Secondary","N","Secondary","N"
"06007032001",1175939,"CA","Secondary","Y","Secondary","Y"
"06005022001",1175543,"CA","Advanced","Y","Advanced","Y"
"06006049001",1175898,"CA","Secondary","N","Secondary","N"
"06005238001",1175725,"CA","Secondary","N","Secondary","N"
"06001093001",1175240,"CA","Secondary","N","Secondary","N"
"06005200001",1175704,"CA","Advanced","N","Advanced","N"
"06001056001",3477690,"CA","Secondary","N","Secondary","N"
"06002063002",1175323,"CA","Advanced","Y","Advanced","Y"
"06005780001",1175851,"CA","Secondary","N","Secondary","N"
"06006010001",1175863,"CA","Advanced","Y","Advanced","Y"
"06001026001",1175194,"CA","Secondary","N","Secondary","N"
"06007007001",1175913,"CA","Secondary","Y","Secondary","Y"
"06005055001",1175574,"CA","Secondary","N","Secondary","N"
"06002053001",1175311,"CA","Advanced","Y","Advanced","Y"
"06008012001",1175963,"CA","Advanced","Y","Advanced","Y"
"06001082001",1175233,"CA","Advanced","Y","Advanced","Y"
"06000000215",3610516,"CA","Advanced","Y","Advanced","Y"
"06005064001",1175585,"CA","Advanced","Y","Advanced","Y"
"06005157001",1175675,"CA","Secondary","N","Secondary","N"
"06002060003",1175317,"CA","Secondary","N","Secondary","N"
"06005511003",3477617,"CA","Primary","N","Primary","N"
"06005123001",1175654,"CA","Secondary","N","Secondary","N"
"06007003001",1175910,"CA","Secondary","N","Secondary","N"
"06002063001",1175322,"CA","Advanced","Y","Advanced","Y"
"06005161001",1175679,"CA","Advanced","Y","Advanced","Y"
"06005329001",1175773,"CA","Advanced","N","Advanced","N"
"06005062001",1175583,"CA","Secondary","N","Secondary","N"
"06005082020",1175605,"CA","Secondary","N","Secondary","N"
"06002090001",3521216,"CA","Advanced","Y","Advanced","Y"
"06005066001",1175587,"CA","Advanced","Y","Advanced","Y"
"06005322001",1175769,"CA","Secondary","N","Secondary","N"
