"CWNS_ID","FACILITY_ID","STATE_CODE","FLOW_TYPE","CURRENT_DESIGN_FLOW","FUTURE_DESIGN_FLOW"
"06005299001",1175755,"CA","Infiltration Flow",,
"06005299001",1175755,"CA","Wet Weather Peak",,
"06005299001",1175755,"CA","Total Flow",0.5,0.5
"06001010005",1175180,"CA","Municipal Flow",,
"06001010005",1175180,"CA","Industrial Flow",,
"06001010005",1175180,"CA","Infiltration Flow",,
"06001010005",1175180,"CA","Wet Weather Peak",12,12
"06001010005",1175180,"CA","Total Flow",8.6,8.6
"06002109001",1175348,"CA","Municipal Flow",,
"06002109001",1175348,"CA","Industrial Flow",,
"06002109001",1175348,"CA","Infiltration Flow",,
"06002109001",1175348,"CA","Wet Weather Peak",12.4,12.4
"06002109001",1175348,"CA","Total Flow",8.5,11.1
"06003038001",1175403,"CA","Municipal Flow",0.2,0.2
"06003038001",1175403,"CA","Industrial Flow",,
"06003038001",1175403,"CA","Infiltration Flow",,
"06003038001",1175403,"CA","Wet Weather Peak",,
"06003038001",1175403,"CA","Total Flow",0.2,0.2
"06005249003",1175735,"CA","Municipal Flow",4,4.1
"06005249003",1175735,"CA","Industrial Flow",,
"06005249003",1175735,"CA","Infiltration Flow",,
"06005249003",1175735,"CA","Wet Weather Peak",9.9,13.2
"06005249003",1175735,"CA","Total Flow",4,4.1
"06006011001",1175864,"CA","Municipal Flow",0.37,0.37
"06006011001",1175864,"CA","Industrial Flow",,
"06006011001",1175864,"CA","Infiltration Flow",,
"06006011001",1175864,"CA","Wet Weather Peak",,
"06006011001",1175864,"CA","Total Flow",0.37,0.37
"06002006001",1175267,"CA","Municipal Flow",,
"06002006001",1175267,"CA","Industrial Flow",,
"06002006001",1175267,"CA","Infiltration Flow",,
"06002006001",1175267,"CA","Wet Weather Peak",60.7,74
"06002006001",1175267,"CA","Total Flow",20.2,23.9
"06002015001",1175274,"CA","Municipal Flow",,
"06002015001",1175274,"CA","Industrial Flow",,
"06002015001",1175274,"CA","Infiltration Flow",,
"06002015001",1175274,"CA","Wet Weather Peak",24.7,24.7
"06002015001",1175274,"CA","Total Flow",3.6,3.6
"06002036001",1175294,"CA","Municipal Flow",110,110
"06002036001",1175294,"CA","Industrial Flow",10,10
"06002036001",1175294,"CA","Infiltration Flow",,
"06002036001",1175294,"CA","Wet Weather Peak",,
"06002036001",1175294,"CA","Total Flow",120,120
"06005018001",1175539,"CA","Municipal Flow",0.5,0.5
"06005018001",1175539,"CA","Industrial Flow",,
"06005018001",1175539,"CA","Infiltration Flow",,
"06005018001",1175539,"CA","Wet Weather Peak",0.75,0.75
"06005018001",1175539,"CA","Total Flow",0.5,0.5
"06005057001",1175576,"CA","Municipal Flow",0.43,0.43
"06005057001",1175576,"CA","Industrial Flow",0.06,0.06
"06005057001",1175576,"CA","Infiltration Flow",,
"06005057001",1175576,"CA","Wet Weather Peak",,
"06005057001",1175576,"CA","Total Flow",0.49,0.49
"06005082016",1175604,"CA","Municipal Flow",0.009,0.009
"06005082016",1175604,"CA","Industrial Flow",,
"06005082016",1175604,"CA","Infiltration Flow",,
"06005082016",1175604,"CA","Wet Weather Peak",,
"06005082016",1175604,"CA","Total Flow",0.009,0.009
"06005329001",1175773,"CA","Municipal Flow",1.6,1.6
"06005329001",1175773,"CA","Industrial Flow",,
"06005329001",1175773,"CA","Infiltration Flow",,
"06005329001",1175773,"CA","Wet Weather Peak",,5.7
"06005329001",1175773,"CA","Total Flow",1.6,1.6
"06005061001",1238816,"CA","Municipal Flow",5,5
"06005061001",1238816,"CA","Industrial Flow",,
"06005061001",1238816,"CA","Infiltration Flow",,
"06005061001",1238816,"CA","Wet Weather Peak",,
"06005061001",1238816,"CA","Total Flow",5,5
"06004009006",1175482,"CA","Municipal Flow",,
"06004009006",1175482,"CA","Industrial Flow",,
"06004009006",1175482,"CA","Infiltration Flow",,
"06004009006",1175482,"CA","Wet Weather Peak",60,60
"06004009006",1175482,"CA","Total Flow",25,25
"06005112001",1175643,"CA","Municipal Flow",0.55,1.6
"06005112001",1175643,"CA","Industrial Flow",,
"06005112001",1175643,"CA","Infiltration Flow",,
"06005112001",1175643,"CA","Wet Weather Peak",,
"06005112001",1175643,"CA","Total Flow",0.55,1.6
"06002063001",1175322,"CA","Municipal Flow",0.98,0.98
"06002063001",1175322,"CA","Industrial Flow",,
"06002063001",1175322,"CA","Infiltration Flow",,
"06002063001",1175322,"CA","Wet Weather Peak",,
"06002063001",1175322,"CA","Total Flow",0.98,0.98
"06004022002",1175509,"CA","Municipal Flow",0.32,0.32
"06004022002",1175509,"CA","Industrial Flow",,
"06004022002",1175509,"CA","Infiltration Flow",,
"06004022002",1175509,"CA","Wet Weather Peak",,
"06004022002",1175509,"CA","Total Flow",0.32,0.32
"06005082007",1175602,"CA","Municipal Flow",0.2,0.2
"06005082007",1175602,"CA","Industrial Flow",,
"06005082007",1175602,"CA","Infiltration Flow",,
"06005082007",1175602,"CA","Wet Weather Peak",,
"06005082007",1175602,"CA","Total Flow",0.2,0.2
"06005099001",1175619,"CA","Municipal Flow",,
"06005099001",1175619,"CA","Industrial Flow",,
"06005099001",1175619,"CA","Infiltration Flow",,
"06005099001",1175619,"CA","Wet Weather Peak",,
"06005099001",1175619,"CA","Total Flow",0.71,1
"06005235001",1175722,"CA","Municipal Flow",,
"06005235001",1175722,"CA","Industrial Flow",,
"06005235001",1175722,"CA","Infiltration Flow",,
"06005235001",1175722,"CA","Wet Weather Peak",,
"06005235001",1175722,"CA","Total Flow",1.4,1.5
"06005693001",1175847,"CA","Municipal Flow",0.04,0.04
"06005693001",1175847,"CA","Industrial Flow",,
"06005693001",1175847,"CA","Infiltration Flow",,
"06005693001",1175847,"CA","Wet Weather Peak",,
"06005693001",1175847,"CA","Total Flow",0.04,0.04
"06008020001",1175973,"CA","Municipal Flow",,
"06008020001",1175973,"CA","Industrial Flow",,
"06008020001",1175973,"CA","Infiltration Flow",,
"06008020001",1175973,"CA","Wet Weather Peak",,
"06008020001",1175973,"CA","Total Flow",11.5,12.2
"06009011001",1176042,"CA","Municipal Flow",40.51,40.51
"06009011001",1176042,"CA","Industrial Flow",,
"06009011001",1176042,"CA","Infiltration Flow",,
"06009011001",1176042,"CA","Wet Weather Peak",,
"06009011001",1176042,"CA","Total Flow",40.51,40.51
"06009040001",1176078,"CA","Municipal Flow",5,5
"06009040001",1176078,"CA","Industrial Flow",,
"06009040001",1176078,"CA","Infiltration Flow",,
"06009040001",1176078,"CA","Wet Weather Peak",,
"06009040001",1176078,"CA","Total Flow",5,5
"06005296001",3408470,"CA","Municipal Flow",0.1,0.1
"06005296001",3408470,"CA","Industrial Flow",,
"06005296001",3408470,"CA","Infiltration Flow",,
"06005296001",3408470,"CA","Wet Weather Peak",0.05,0.05
"06005296001",3408470,"CA","Total Flow",0.1,0.1
"06009080001",392614,"CA","Municipal Flow",,
"06009080001",392614,"CA","Industrial Flow",,
"06009080001",392614,"CA","Infiltration Flow",,
"06009080001",392614,"CA","Wet Weather Peak",,
"06009080001",392614,"CA","Total Flow",8,8
"06002043001",1175301,"CA","Municipal Flow",,
"06002043001",1175301,"CA","Industrial Flow",,
"06002043001",1175301,"CA","Infiltration Flow",,
"06002043001",1175301,"CA","Wet Weather Peak",40,60
"06002043001",1175301,"CA","Total Flow",15.7,15.7
"06005178001",1175688,"CA","Municipal Flow",1.07,1.07
"06005178001",1175688,"CA","Industrial Flow",,
"06005178001",1175688,"CA","Infiltration Flow",,
"06005178001",1175688,"CA","Wet Weather Peak",1.96,1.96
"06005178001",1175688,"CA","Total Flow",1.07,1.07
"06007069001",1175944,"CA","Municipal Flow",0.05,0.05
"06007069001",1175944,"CA","Industrial Flow",,
"06007069001",1175944,"CA","Infiltration Flow",,
"06007069001",1175944,"CA","Wet Weather Peak",,
"06007069001",1175944,"CA","Total Flow",0.05,0.05
"06008012001",1175963,"CA","Municipal Flow",4,4
"06008012001",1175963,"CA","Industrial Flow",,
"06008012001",1175963,"CA","Infiltration Flow",,
"06008012001",1175963,"CA","Wet Weather Peak",,
"06008012001",1175963,"CA","Total Flow",4,4
"06002044004",1175304,"CA","Municipal Flow",10,10
"06002044004",1175304,"CA","Industrial Flow",,
"06002044004",1175304,"CA","Infiltration Flow",,
"06002044004",1175304,"CA","Wet Weather Peak",,
"06002044004",1175304,"CA","Total Flow",10,10
"06002057001",1175314,"CA","Municipal Flow",12.5,12.5
"06002057001",1175314,"CA","Industrial Flow",,
"06002057001",1175314,"CA","Infiltration Flow",,
"06002057001",1175314,"CA","Wet Weather Peak",,
"06002057001",1175314,"CA","Total Flow",12.5,12.5
"06003041001",1175408,"CA","Municipal Flow",1.5,1.5
"06003041001",1175408,"CA","Industrial Flow",,
"06003041001",1175408,"CA","Infiltration Flow",,
"06003041001",1175408,"CA","Wet Weather Peak",,
"06003041001",1175408,"CA","Total Flow",1.5,1.5
"06004011009",1175497,"CA","Municipal Flow",,
"06004011009",1175497,"CA","Industrial Flow",,
"06004011009",1175497,"CA","Infiltration Flow",,
"06004011009",1175497,"CA","Wet Weather Peak",,
"06004011009",1175497,"CA","Total Flow",0.36,0.36
"06005035001",1175556,"CA","Municipal Flow",1.2,1.2
"06005035001",1175556,"CA","Industrial Flow",,
"06005035001",1175556,"CA","Infiltration Flow",,
"06005035001",1175556,"CA","Wet Weather Peak",3.8,
"06005035001",1175556,"CA","Total Flow",1.2,1.2
"06005125001",1175656,"CA","Municipal Flow",1.7,1.7
"06005125001",1175656,"CA","Industrial Flow",,
"06005125001",1175656,"CA","Infiltration Flow",,
"06005125001",1175656,"CA","Wet Weather Peak",,
"06005125001",1175656,"CA","Total Flow",1.7,1.7
"06005126001",1175657,"CA","Municipal Flow",,
"06005126001",1175657,"CA","Industrial Flow",,
"06005126001",1175657,"CA","Infiltration Flow",,
"06005126001",1175657,"CA","Wet Weather Peak",,
"06005126001",1175657,"CA","Total Flow",2.5,3.5
"06005238001",1175725,"CA","Municipal Flow",0.06,0.06
"06005238001",1175725,"CA","Industrial Flow",,
"06005238001",1175725,"CA","Infiltration Flow",,
"06005238001",1175725,"CA","Wet Weather Peak",,
"06005238001",1175725,"CA","Total Flow",0.06,0.06
"06005271001",1175746,"CA","Municipal Flow",0.08,0.08
"06005271001",1175746,"CA","Industrial Flow",,
"06005271001",1175746,"CA","Infiltration Flow",,
"06005271001",1175746,"CA","Wet Weather Peak",,
"06005271001",1175746,"CA","Total Flow",0.08,0.08
"06005306001",1175758,"CA","Municipal Flow",2,2
"06005306001",1175758,"CA","Industrial Flow",,
"06005306001",1175758,"CA","Infiltration Flow",,
"06005306001",1175758,"CA","Wet Weather Peak",,
"06005306001",1175758,"CA","Total Flow",2,2
"06005311001",1175762,"CA","Municipal Flow",0.02,0.02
"06005311001",1175762,"CA","Industrial Flow",,
"06005311001",1175762,"CA","Infiltration Flow",,
"06005311001",1175762,"CA","Wet Weather Peak",,
"06005311001",1175762,"CA","Total Flow",0.02,0.02
"06009036001",1176075,"CA","Municipal Flow",2,2
"06009036001",1176075,"CA","Industrial Flow",,
"06009036001",1176075,"CA","Infiltration Flow",,
"06009036001",1176075,"CA","Wet Weather Peak",,
"06009036001",1176075,"CA","Total Flow",2,2
"06009053001",1176088,"CA","Municipal Flow",0.12,0.12
"06009053001",1176088,"CA","Industrial Flow",,
"06009053001",1176088,"CA","Infiltration Flow",,
"06009053001",1176088,"CA","Wet Weather Peak",,
"06009053001",1176088,"CA","Total Flow",0.12,0.12
"06002032002",1175288,"CA","Municipal Flow",,
"06002032002",1175288,"CA","Industrial Flow",,
"06002032002",1175288,"CA","Infiltration Flow",,
"06002032002",1175288,"CA","Wet Weather Peak",85,85
"06002032002",1175288,"CA","Total Flow",0,0
"06002038001",1175296,"CA","Municipal Flow",,
"06002038001",1175296,"CA","Industrial Flow",,
"06002038001",1175296,"CA","Infiltration Flow",,
"06002038001",1175296,"CA","Wet Weather Peak",32,35
"06002038001",1175296,"CA","Total Flow",23.7,37.1
"06003050001",1175418,"CA","Municipal Flow",,
"06003050001",1175418,"CA","Industrial Flow",,
"06003050001",1175418,"CA","Infiltration Flow",,
"06003050001",1175418,"CA","Wet Weather Peak",,
"06003050001",1175418,"CA","Total Flow",5.5,5.5
"06005006001",1175527,"CA","Municipal Flow",0.47,0.47
"06005006001",1175527,"CA","Industrial Flow",0.04,0.04
"06005006001",1175527,"CA","Infiltration Flow",,
"06005006001",1175527,"CA","Wet Weather Peak",,
"06005006001",1175527,"CA","Total Flow",0.51,0.51
"06005357001",1175790,"CA","Municipal Flow",0.62,0.62
"06005357001",1175790,"CA","Industrial Flow",,
"06005357001",1175790,"CA","Infiltration Flow",,
"06005357001",1175790,"CA","Wet Weather Peak",,
"06005357001",1175790,"CA","Total Flow",0.62,0.62
"06009031001",1176066,"CA","Municipal Flow",,
"06009031001",1176066,"CA","Industrial Flow",,
"06009031001",1176066,"CA","Infiltration Flow",,
"06009031001",1176066,"CA","Wet Weather Peak",,
"06009031001",1176066,"CA","Total Flow",240,268.8
"06009074001",1176093,"CA","Municipal Flow",,
"06009074001",1176093,"CA","Industrial Flow",,
"06009074001",1176093,"CA","Infiltration Flow",,
"06009074001",1176093,"CA","Wet Weather Peak",,
"06009074001",1176093,"CA","Total Flow",3,5.8
"06006009002",3522480,"CA","Infiltration Flow",,
"06006009002",3522480,"CA","Wet Weather Peak",,
"06006009002",3522480,"CA","Total Flow",6,8.5
"06003019001",1175386,"CA","Municipal Flow",0.08,0.08
"06003019001",1175386,"CA","Industrial Flow",,
"06003019001",1175386,"CA","Infiltration Flow",,
"06003019001",1175386,"CA","Wet Weather Peak",,
"06003019001",1175386,"CA","Total Flow",0.08,0.08
"06009004001",1176034,"CA","Municipal Flow",,
"06009004001",1176034,"CA","Industrial Flow",,
"06009004001",1176034,"CA","Infiltration Flow",,
"06009004001",1176034,"CA","Wet Weather Peak",6.2,
"06009004001",1176034,"CA","Total Flow",2.7,2.7
"06004009003",1175479,"CA","Municipal Flow",,
"06004009003",1175479,"CA","Industrial Flow",,
"06004009003",1175479,"CA","Infiltration Flow",,
"06004009003",1175479,"CA","Wet Weather Peak",200,250
"06004009003",1175479,"CA","Total Flow",100,100
"06004010003",1175493,"CA","Municipal Flow",,
"06004010003",1175493,"CA","Industrial Flow",,
"06004010003",1175493,"CA","Infiltration Flow",,
"06004010003",1175493,"CA","Wet Weather Peak",28,28
"06004010003",1175493,"CA","Total Flow",20,20
"06005245002",1175731,"CA","Municipal Flow",,
"06005245002",1175731,"CA","Industrial Flow",,
"06005245002",1175731,"CA","Infiltration Flow",,
"06003027001",1175394,"CA","Municipal Flow",,
"06003027001",1175394,"CA","Industrial Flow",,
"06003027001",1175394,"CA","Infiltration Flow",,
"06003027001",1175394,"CA","Wet Weather Peak",12.7,14.1
"06003027001",1175394,"CA","Total Flow",4.9,5.4
"06005040001",1175560,"CA","Municipal Flow",1.67,1.67
"06005040001",1175560,"CA","Industrial Flow",,
"06005040001",1175560,"CA","Infiltration Flow",,
"06005040001",1175560,"CA","Wet Weather Peak",,
"06005040001",1175560,"CA","Total Flow",1.67,1.67
"06005187001",1175696,"CA","Municipal Flow",0.6,0.6
"06005187001",1175696,"CA","Industrial Flow",,
"06005187001",1175696,"CA","Infiltration Flow",,
"06005187001",1175696,"CA","Wet Weather Peak",,
"06005187001",1175696,"CA","Total Flow",0.6,0.6
"06005197001",1175701,"CA","Municipal Flow",7,7
"06005197001",1175701,"CA","Industrial Flow",,
"06005197001",1175701,"CA","Infiltration Flow",,
"06005197001",1175701,"CA","Wet Weather Peak",,
"06005197001",1175701,"CA","Total Flow",7,7
"06005315002",1175764,"CA","Municipal Flow",2,2
"06005315002",1175764,"CA","Industrial Flow",,
"06005315002",1175764,"CA","Infiltration Flow",,
"06005315002",1175764,"CA","Wet Weather Peak",,3.7
"06005315002",1175764,"CA","Total Flow",2,2
"06005245002",1175731,"CA","Wet Weather Peak",,
"06005245002",1175731,"CA","Total Flow",1.4,1.4
"06006008001",1175861,"CA","Municipal Flow",9.6,12.1
"06006008001",1175861,"CA","Industrial Flow",,
"06006008001",1175861,"CA","Infiltration Flow",,
"06006008001",1175861,"CA","Wet Weather Peak",11.8,15.3
"06006008001",1175861,"CA","Total Flow",9.6,12.1
"06005421001",1175804,"CA","Municipal Flow",0.72,0.72
"06005421001",1175804,"CA","Industrial Flow",,
"06005421001",1175804,"CA","Infiltration Flow",,
"06005421001",1175804,"CA","Wet Weather Peak",3,3
"06005421001",1175804,"CA","Total Flow",0.72,0.72
"06008033001",1175988,"CA","Municipal Flow",28,28
"06008033001",1175988,"CA","Industrial Flow",,
"06008033001",1175988,"CA","Infiltration Flow",,
"06008033001",1175988,"CA","Wet Weather Peak",,
"06008033001",1175988,"CA","Total Flow",28,28
"06006009002",3522480,"CA","Municipal Flow",,
"06006009002",3522480,"CA","Industrial Flow",,
"06005234001",1238821,"CA","Municipal Flow",,
"06005234001",1238821,"CA","Industrial Flow",,
"06005234001",1238821,"CA","Infiltration Flow",,
"06005234001",1238821,"CA","Wet Weather Peak",3,6.6
"06005234001",1238821,"CA","Total Flow",5.9,8.4
"06005345001",1175781,"CA","Municipal Flow",0.4,0.4
"06005345001",1175781,"CA","Industrial Flow",,
"06005345001",1175781,"CA","Infiltration Flow",,
"06005345001",1175781,"CA","Wet Weather Peak",,
"06005345001",1175781,"CA","Total Flow",0.4,0.4
"06006031001",1175885,"CA","Municipal Flow",,
"06006031001",1175885,"CA","Industrial Flow",,
"06006031001",1175885,"CA","Infiltration Flow",,
"06006031001",1175885,"CA","Wet Weather Peak",,
"06006031001",1175885,"CA","Total Flow",0.2,0.2
"06008016003",1175969,"CA","Municipal Flow",8,8
"06008016003",1175969,"CA","Industrial Flow",,
"06008016003",1175969,"CA","Infiltration Flow",,
"06008016003",1175969,"CA","Wet Weather Peak",12,12
"06008016003",1175969,"CA","Total Flow",8,8
"06008034001",1175989,"CA","Municipal Flow",,
"06008034001",1175989,"CA","Industrial Flow",,
"06008034001",1175989,"CA","Infiltration Flow",,
"06008034001",1175989,"CA","Wet Weather Peak",,
"06008034001",1175989,"CA","Total Flow",1.3,1.3
"06009006001",1176037,"CA","Municipal Flow",,
"06009006001",1176037,"CA","Industrial Flow",,
"06009006001",1176037,"CA","Infiltration Flow",,
"06009006001",1176037,"CA","Wet Weather Peak",,
"06009006001",1176037,"CA","Total Flow",6.7,6.7
"06009019001",1176050,"CA","Municipal Flow",13,13
"06009019001",1176050,"CA","Industrial Flow",,
"06009019001",1176050,"CA","Infiltration Flow",,
"06009019001",1176050,"CA","Wet Weather Peak",,
"06009019001",1176050,"CA","Total Flow",13,13
"06008020003",3518636,"CA","Municipal Flow",,
"06008020003",3518636,"CA","Industrial Flow",,
"06008020003",3518636,"CA","Infiltration Flow",,
"06008020003",3518636,"CA","Wet Weather Peak",,
"06008020003",3518636,"CA","Total Flow",1,1.1
"06001014001",433503,"CA","Municipal Flow",0.09,0.09
"06001014001",433503,"CA","Industrial Flow",,
"06001014001",433503,"CA","Infiltration Flow",,
"06001014001",433503,"CA","Wet Weather Peak",,
"06001014001",433503,"CA","Total Flow",0.09,0.09
"06001003001",1175169,"CA","Municipal Flow",0.5,0.5
"06001003001",1175169,"CA","Industrial Flow",,
"06001003001",1175169,"CA","Infiltration Flow",,
"06001003001",1175169,"CA","Wet Weather Peak",1.5,1.5
"06001003001",1175169,"CA","Total Flow",0.5,0.5
"06001093001",1175240,"CA","Municipal Flow",0.14,0.1
"06001093001",1175240,"CA","Industrial Flow",,
"06001093001",1175240,"CA","Infiltration Flow",,
"06001093001",1175240,"CA","Wet Weather Peak",,
"06001093001",1175240,"CA","Total Flow",0.14,0.1
"06002023001",1175281,"CA","Municipal Flow",,
"06002023001",1175281,"CA","Industrial Flow",,
"06002023001",1175281,"CA","Infiltration Flow",,
"06002023001",1175281,"CA","Wet Weather Peak",31.1,31.1
"06002023001",1175281,"CA","Total Flow",19.5,19.5
"06002082001",1175340,"CA","Municipal Flow",,
"06002082001",1175340,"CA","Industrial Flow",,
