"CWNS_ID","FACILITY_ID","STATE_CODE","DISCHARGE_TYPE","PRESENT_DISCHARGE_PERCENTAGE","PROJECTED_DISCHARGE_PERCENTAGE","DISCHARGES_TO_CWNSID"
"06001085001",1175236,"CA","Evaporation",100,100,""
"06001035001",1175201,"CA","Reuse: Environmental restoration and groundwater discharge",100,100,""
"06008010004",3486590,"CA","Outfall To Surface Waters",60,60,""
"06004010001",1175491,"CA","Reuse: Landscape-related irrigation",0,100,""
"06000000137",3608581,"CA","Evaporation",100,100,""
"06005265001",1175744,"CA","Overland Flow With Discharge",33,33,""
"06000203200",3509698,"CA","Discharge To Another Facility",0,0,"06002032002"
"06000000112",3608022,"CA","Discharge To Another Facility",100,100,"06004009009"
"06003019001",1175386,"CA","Outfall To Surface Waters",100,100,""
"06001007001",1175174,"CA","Outfall To Surface Waters",100,100,""
"06005014001",1175536,"CA","Reuse: Irrigation",100,100,""
"06005200001",1175704,"CA","Outfall To Surface Waters",100,100,""
"06005366001",1175793,"CA","Reuse: Irrigation",100,100,""
"06006001001",1175854,"CA","Discharge To Another Facility",100,100,"06008027001"
"06006049001",1175898,"CA","Evaporation",100,100,""
"06008060001",1176008,"CA","Discharge To Another Facility",100,100,"06008023001"
"06008071001",1176017,"CA","Discharge To Another Facility",100,100,"06008023003"
"06001027001",1175195,"CA","Outfall To Surface Waters",60,60,""
"06005082016",1175604,"CA","Reuse: Landscape-related irrigation",100,100,""
"06005094001",1238819,"CA","Reuse: Agricultural-related and livestock watering",100,100,""
"06000000301",3612652,"CA","Ocean Discharge",0,100,""
"06005325001",1175771,"CA","Reuse: Irrigation",40,40,""
"06000000104",3607926,"CA","Discharge To Another Facility",100,100,"06002036001"
"06009019002",1176051,"CA","Discharge To Another Facility",42,42,"06009006001"
"06000000155",3608951,"CA","Discharge To Another Facility",100,100,"06004009001"
"06005012001",1175534,"CA","Evaporation",40,40,""
"06005283001",3106372,"CA","Evaporation",100,100,""
"06006004001",1175857,"CA","Reuse: Irrigation",42,42,""
"06009075001",1176094,"CA","Ocean Discharge",20,20,""
"06000000132",3608439,"CA","Reuse: Potable",0,100,""
"06005284001",1175750,"CA","Evaporation",50,50,""
"06003061001",1175428,"CA","Discharge To Another Facility",0,20,"06000000313"
"06000000109",3608001,"CA","Discharge To Another Facility",100,100,"06006009001"
"06008022001",1175976,"CA","Discharge To Another Facility",4,4,"06000000090"
"06002081001",1175339,"CA","Ocean Discharge",100,100,""
"06005061001",1238816,"CA","Reuse: Environmental restoration and groundwater discharge",20,20,""
"06002040001",1175298,"CA","Reuse: Landscape-related irrigation",27,27,""
"06005204001",1175707,"CA","Evaporation",20,20,""
"06000000214",3610513,"CA","Discharge To Another Facility",75,75,"06005107001"
"06000000214",3610513,"CA","Discharge To Another Facility",25,25,"06005065001"
"06005064001",1175585,"CA","Reuse: Environmental restoration and groundwater discharge",30,30,""
"06002032004",442052,"CA","Reuse: Landscape-related irrigation",0,42,""
"06000000087",3607695,"CA","Discharge To Another Facility",100,100,"06002120001"
"06000000100",3607879,"CA","Discharge To Another Facility",50,50,"06000000099"
"06004010005",1175495,"CA","Discharge To Another Facility",25,25,"06004010004"
"06002023001",1175281,"CA","Reuse: Irrigation",5,5,""
"06002082001",1175340,"CA","Outfall To Surface Waters",100,100,""
"06003080001",1175444,"CA","Evaporation",100,100,""
"06005158001",1175676,"CA","Evaporation",100,100,""
"06006020001",1175875,"CA","Discharge To Another Facility",100,100,"06006008001"
"06007002001",1175909,"CA","Outfall To Surface Waters",100,100,""
"06008034001",1175989,"CA","Reuse: Irrigation",34,34,""
"06009006001",1176037,"CA","Reuse: Irrigation",20,20,""
"06009019001",1176050,"CA","Ocean Discharge",100,100,""
"06001030001",1175198,"CA","Discharge To Another Facility",100,100,"06001045001"
"06002041001",1175299,"CA","Outfall To Surface Waters",90,90,""
"06002041001",1175299,"CA","Reuse: Irrigation",10,10,""
"06002155001",1175365,"CA","Ocean Discharge",100,100,""
"06003049001",1175417,"CA","Reuse: Irrigation",50,50,""
"06003072001",1175440,"CA","Reuse: Irrigation",100,100,""
"06005145001",1175665,"CA","Reuse: Irrigation",100,100,""
"06007022001",1175930,"CA","Outfall To Surface Waters",100,100,""
"06008044001",1175998,"CA","Discharge To Another Facility",100,100,"06008023003"
"06002034002",1175292,"CA","Ocean Discharge",100,100,""
"06002047001",1175307,"CA","Ocean Discharge",100,100,""
"06003008001",1175377,"CA","Ocean Discharge",100,100,""
"06003063001",1175430,"CA","Reuse: Environmental restoration and groundwater discharge",30,30,""
"06005071001",1175590,"CA","Evaporation",100,100,""
"06009023001",1176055,"CA","Discharge To Another Facility",100,100,"06009031001"
"06009030001",1176065,"CA","Discharge To Another Facility",100,100,"06009031001"
"06002158001",3484151,"CA","Discharge To Another Facility",100,100,"06002046001"
"06000000124",3608283,"CA","Discharge To Another Facility",0,3,"06000000132"
"06000000103",3607909,"CA","Discharge To Another Facility",6,6,"06009031004"
