"CWNS_ID","FACILITY_ID","STATE_CODE","COST_METHOD","FACILITY_DOCUMENT_CET_ID","FACILITY_DOCUMENT_COST_ID","CONSTRUCTION_TYPE","SIZING_METHOD","COUNTY_ID","COUNTY_NAME","NUM_HOME_SERVED","POP_SERVED","POP_PER_HOUSEHOLD"
"06000000269",3611393,"CA","Decentralized",8591,39136,"Replace","Number of Homes Served",219,"San Luis Obispo",1093,,2.51
"06000000269",3611393,"CA","Decentralized",8590,39136,"New","Number of Homes Served",219,"San Luis Obispo",867,,2.51
"06000000270",3611394,"CA","Decentralized",9972,46284,"New","Number of Homes Served",220,"San Mateo",1128,,2.87
"06000000270",3611394,"CA","Decentralized",9973,46284,"Replace","Number of Homes Served",220,"San Mateo",604,,2.87
"06000000271",3611395,"CA","Decentralized",7860,36386,"New","Number of Homes Served",221,"Santa Barbara",708,,2.91
"06000000271",3611395,"CA","Decentralized",7861,36386,"Replace","Number of Homes Served",221,"Santa Barbara",2544,,2.91
"06000000272",3611396,"CA","Decentralized",7862,36388,"New","Number of Homes Served",222,"Santa Clara",1128,,2.95
"06000000272",3611396,"CA","Decentralized",7863,36388,"Replace","Number of Homes Served",222,"Santa Clara",604,,2.95
"06000000273",3611397,"CA","Decentralized",10084,47587,"New","Number of Homes Served",223,"Santa Cruz",1356,,2.72
"06000000273",3611397,"CA","Decentralized",10085,47587,"Replace","Number of Homes Served",223,"Santa Cruz",3074,,2.72
"06000000274",3611398,"CA","Decentralized",8575,39095,"Replace","Number of Homes Served",224,"Shasta",1380,,2.47
"06000000274",3611398,"CA","Decentralized",8574,39095,"New","Number of Homes Served",224,"Shasta",3113,,2.47
"06000000275",3611399,"CA","Decentralized",7864,36392,"New","Number of Homes Served",225,"Sierra",160,,2.28
"06000000275",3611399,"CA","Decentralized",7865,36392,"Replace","Number of Homes Served",225,"Sierra",92,,2.28
"06000000276",3611400,"CA","Decentralized",7867,36393,"Replace","Number of Homes Served",226,"Siskiyou",388,,2.23
"06000000276",3611400,"CA","Decentralized",7866,36393,"New","Number of Homes Served",226,"Siskiyou",1288,,2.23
"06000000277",3611401,"CA","Decentralized",9968,46244,"Replace","Number of Homes Served",227,"Solano",1206,,2.88
"06000000277",3611401,"CA","Decentralized",9967,46244,"New","Number of Homes Served",227,"Solano",1002,,2.88
"06000000278",3611402,"CA","Decentralized",8364,37632,"Replace","Number of Homes Served",228,"Sonoma",8732,,2.59
"06000000278",3611402,"CA","Decentralized",8363,37632,"New","Number of Homes Served",228,"Sonoma",5580,,2.59
"06000000279",3611403,"CA","Decentralized",9630,44457,"New","Number of Homes Served",229,"Stanislaus",1186,,3.09
"06000000279",3611403,"CA","Decentralized",9631,44457,"Replace","Number of Homes Served",229,"Stanislaus",1714,,3.09
"06000000280",3611404,"CA","Decentralized",7869,36394,"Replace","Number of Homes Served",230,"Sutter",352,,2.91
"06000000280",3611404,"CA","Decentralized",7868,36394,"New","Number of Homes Served",230,"Sutter",544,,2.91
"06000000281",3611405,"CA","Decentralized",10521,51113,"New","Number of Homes Served",231,"Tehama",1494,,2.61
"06000000281",3611405,"CA","Decentralized",10522,51113,"Replace","Number of Homes Served",231,"Tehama",929,,2.61
"06000000282",3611406,"CA","Decentralized",10523,51120,"New","Number of Homes Served",232,"Trinity",1930,,2.09
"06000000282",3611406,"CA","Decentralized",10524,51120,"Replace","Number of Homes Served",232,"Trinity",813,,2.09
"06000000283",3611407,"CA","Decentralized",8441,38253,"Replace","Number of Homes Served",233,"Tulare",460,,3.3
"06000000283",3611407,"CA","Decentralized",8440,38253,"New","Number of Homes Served",233,"Tulare",2684,,3.3
"06000000284",3611408,"CA","Decentralized",9591,44363,"New","Number of Homes Served",234,"Tuolumne",628,,2.24
"06000000284",3611408,"CA","Decentralized",9592,44363,"Replace","Number of Homes Served",234,"Tuolumne",2176,,2.24
"06000000285",3611409,"CA","Decentralized",8365,37641,"New","Number of Homes Served",235,"Ventura",1220,,3.08
"06000000285",3611409,"CA","Decentralized",8366,37641,"Replace","Number of Homes Served",235,"Ventura",1860,,3.08
"06000000286",3611410,"CA","Decentralized",7871,36395,"Replace","Number of Homes Served",236,"Yolo",236,,2.81
"06000000286",3611410,"CA","Decentralized",7870,36395,"New","Number of Homes Served",236,"Yolo",736,,2.81
"06000000287",3611411,"CA","Decentralized",10090,47668,"New","Number of Homes Served",237,"Yuba",459,,2.84
"06000000287",3611411,"CA","Decentralized",10091,47668,"Replace","Number of Homes Served",237,"Yuba",1504,,2.84
