CWNS_ID,PERMIT_NUMBER,population_cwns,population_covid,population_sso,source,Population Served
6005218001,R5-02-208,572,NA,NA,CWNS,572
6005226001,CA0081485,14130,NA,NA,CWNS,14130
6005227001,CA0079502,120655,NA,NA,CWNS,120655
6005227002,CA0084573,112320,NA,NA,CWNS,112320
6005232001,CA0079511,7920,NA,NA,CWNS,7920
6005233001,CA0079529,1566,NA,NA,CWNS,1566
6005234001,CA0084476,59400,NA,NA,CWNS,59400
6005235001,R5-2014-0098,17368,NA,NA,CWNS,17368
6005236001,RS-2002-0136,6576,NA,NA,CWNS,6576
6005238001,91-098,436,NA,NA,CWNS,436
6005240001,CA0078921,2560,NA,NA,CWNS,2560
6005243001,CA0078981,3819,4217,NA,CWNS+COVID,4018
6005244001,CA0081230,23751,NA,NA,CWNS,23751
6005245002,CA0004995,7524,NA,NA,CWNS,7524
6005246001,R5-2021-0025,19661,NA,NA,CWNS,19661
6005249001,R5-2008-0173; CA0078662,30330,NA,NA,CWNS,30330
6005249003,R5-2007-0069; CA0078671,42396,NA,NA,CWNS,42396
6005253001,CA0079588,9630,NA,NA,CWNS,9630
6005257001,CA0079651,16927,NA,NA,CWNS,16927
6005261001,CAL038610; 5-00-231,5760,NA,NA,CWNS,5760
6005265001,CA0078930,1708,NA,NA,CWNS,1708
6005271001,R5-2009-000,1851,NA,NA,CWNS,1851
6005279001,CA0077747; R5-04-050,1890,NA,NA,CWNS,1890
6005282001,R5-2014-0707; CAL010533,2116,NA,NA,CWNS,2116
6005284001,94-184,15660,NA,NA,CWNS,15660
6005285001,R5-93-220; CA0081507,2820,NA,NA,CWNS,2820
6005294001,CA0081744,585,NA,NA,CWNS,585
6005296001,R5-98-007,322,NA,NA,CWNS,322
6005297001,CAL081272,5580,NA,NA,CWNS,5580
6005299001,WDR98-81,2201,NA,NA,CWNS,2201
6005306001,CAL000433; R5-2022-0059,12644,NA,NA,CWNS,12644
6005310001,CAL000435; R5-2019-0008,24300,NA,NA,CWNS,24300
6005316001,R5-2017-0109,1682,NA,NA,CWNS,1682
6005319001,R5-2017-0078,1170,NA,NA,CWNS,1170
6005325001,R5-2010-0087,7490,NA,NA,CWNS,7490
6005329001,CA0078956,9000,NA,NA,CWNS,9000
6005347001,CA0080161,7786,NA,NA,CWNS,7786
6005351001,85-170,1566,NA,NA,CWNS,1566
6005357001,91-069,3408,NA,NA,CWNS,3408
