CWNS_ID,FACILITY_NAME,PERMIT_NUMBER,STATE_CODE,population_cwns,population_cwns_2042,epaid,population_covid,permit_number,Status,population_sso,source,Population Served,pop_std,population_growth_rate
6003061001,Carpinteria WWTF,CA0047364,CA,15241.0,15241.0,,,,,,CWNS,15241.0,0.0,0.0
6003063001,Hollister Domestic WWTP,NO. R3-2008-0069,CA,38970.0,51750.0,,,,,,CWNS,45360.0,9036.82,1.43
6003068001,CUYAMA WWTF,CA0048089,CA,504.0,544.0,,,,,,CWNS,524.0,28.28,0.38
6003070001,GONZALES WWTF,CAS000002,CA,7799.0,7799.0,,,,,,CWNS,7799.0,0.0,0.0
6003081001,SO SAN LUIS OB CO WWTF,CA0048003,CA,62019.0,74458.0,,,,,,CWNS,68238.5,8795.7,0.92
6003083001,TRES PINOS WWTF,2014-0153-DWQ,CA,104.0,158.0,,,,,,CWNS,131.0,38.18,2.11
6004002001,OJAI VALLEY SD WWTF,CA0053961,CA,20700.0,22376.0,,,,,,CWNS,21538.0,1185.11,0.39
6004003001,Simi Valley WWTP,CA0055221,CA,114190.0,118112.0,,,,,,CWNS,116151.0,2773.27,0.17
6004006001,Ventura Water Reclamation Facility,CA0053651,CA,102082.0,108000.0,,,,,,CWNS,105041.0,4184.66,0.28
6004007001,Hill Canyon WWTP,CA0056294,CA,117000.0,117900.0,,,,,,CWNS,117450.0,636.4,0.04
6004008010,MALIBU WWTF,R4-2015-0051,CA,10638.0,11070.0,,,,,,CWNS,10854.0,305.47,0.2
6004009001,LACSD (Joint Water Pollution Control Plant),CA0053813,CA,3353576.0,3632460.0,CA0053813,3500000.0,,,,CWNS+COVID,3495345.3333333335,139500.25,0.4
6004009002,LACSD (Pomona WRP),CA0053619,CA,311175.0,330806.0,,,,,,CWNS,320990.5,13881.21,0.31
6004009004,LACSD (Whittier Narrows WRP),CA0053716,CA,297390.0,307487.0,,,,,,CWNS,302438.5,7139.66,0.17
6004009006,LACSD (Long Beach WRP),CA0054119,CA,189973.0,209563.0,,,,,,CWNS,199768.0,13852.22,0.49
6004009007,LACSD (Saugus WRP),CA0054313,CA,49393.0,53769.0,,,,,,CWNS,51581.0,3094.3,0.43
6004009008,LACSD (Valencia WRP),CA0054216,CA,168637.0,178676.0,,,,,,CWNS,173656.5,7098.64,0.29
6004009009,LACSD (Lancaster WRP),R6V-2002-053,CA,159280.0,175897.0,,,,,,CWNS,167588.5,11749.99,0.5
6004009010,LACSD (Palmdale WRP),R6T-2011-0012,CA,145187.0,162265.0,,,,,,CWNS,153726.0,12075.97,0.56
6004009014,LACSD (La Canada WRP),00-099,CA,1519.0,1654.0,,,,,,CWNS,1586.5,95.46,0.43
6004010001,Hyperion WRP,CA0109991,CA,2800773.0,2799860.0,CA0109991,4000000.0,,,,CWNS+COVID,3200211.0,692637.74,-0.0
6004010002,Terminal Island WRP,CA0053856,CA,123833.0,123833.0,,,,,,CWNS,123833.0,0.0,0.0
6004010003,L.A.-Glendale WRP,CA0053953,CA,213774.0,228264.0,,,,,,CWNS,221019.0,10245.98,0.33
6004010004,Tillman WRP,CA0056227,CA,919987.0,919987.0,,,,,,CWNS,919987.0,0.0,0.0
6004010005,"Los Angeles, City of  (Collection)",CA0053856; CA0109991; CA0056227; CA0053953,CA,3643825.0,3643825.0,,,,,,CWNS,3643825.0,0.0,0.0
6004011010,Saticoy SD Sewage Treatment Plant,R4-01-155,CA,952.0,1019.0,,,,,,CWNS,985.5,47.38,0.34
6004012500,City of Pasadena Collection System,CAS004001,CA,132618.0,132618.0,,,,,,CWNS,132618.0,0.0,0.0
6004014001,Moorpark WWTF,CA0063274,CA,34200.0,36095.0,,,,,,CWNS,35147.5,1339.97,0.27
6004016001,AVALON WWRF,CA0054372,CA,3420.0,3620.0,,,,,,CWNS,3520.0,141.42,0.28
